level_0,itrial,dataname,muh_fun,method,train_size,coverage,width,Unnamed: 0,Unnamed: 0.1,index
57,4,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.909277698751383,238.00885203191748,,,
58,4,Solar_Atl,NeuralNet,Ensemble,2413,0.9031136399557452,181.19179772841468,,,
59,4,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.396653436834,,,
60,5,Solar_Atl,RidgeCV,Ensemble,856,0.8928209030948757,164.55085547322946,,,
61,5,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8926940639269406,228.64147190860726,,,
62,5,Solar_Atl,NeuralNet,Ensemble,856,0.8919330289193302,172.05814086609814,,,
63,5,Solar_Atl,RNN,Ensemble,856,0.8919330289193302,242.6712882999071,,,
64,5,Solar_Atl,RidgeCV,Ensemble,1634,0.897410638896707,172.22107845273567,,,
65,5,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.90163242330425,234.68280644908614,,,
66,5,Solar_Atl,NeuralNet,Ensemble,1634,0.8996622572473966,170.0239350763857,,,
67,5,Solar_Atl,RNN,Ensemble,1634,0.8960033774275258,259.6067534168418,,,
68,5,Solar_Atl,RidgeCV,Ensemble,2413,0.9054844318002212,179.3898664239025,,,
69,5,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9100679626995416,233.90030253894483,,,
70,5,Solar_Atl,NeuralNet,Ensemble,2413,0.9040619566935356,178.69019305196716,,,
71,5,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.37202436622414,,,
72,6,Solar_Atl,RidgeCV,Ensemble,856,0.8926940639269406,164.4429482520378,,,
73,6,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8943429731100964,227.23220867509588,,,
74,6,Solar_Atl,NeuralNet,Ensemble,856,0.8921867072552004,168.7863000773582,,,
75,6,Solar_Atl,RNN,Ensemble,856,0.8920598680872653,242.61297375043318,,,
76,6,Solar_Atl,RidgeCV,Ensemble,1634,0.8975513650436251,172.40392546096322,,,
77,6,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9028989586265128,237.865451339483,,,
78,6,Solar_Atl,NeuralNet,Ensemble,1634,0.8976920911905432,176.40182435623922,,,
79,6,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.1221974624695,,,
80,6,Solar_Atl,RidgeCV,Ensemble,2413,0.9067488541172752,179.2893082493573,,,
81,6,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9078552236446972,232.89543424613672,,,
82,6,Solar_Atl,NeuralNet,Ensemble,2413,0.9043780622727992,177.65013221010375,,,
83,6,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.5019169548527,,,
84,7,Solar_Atl,RidgeCV,Ensemble,856,0.8920598680872653,164.34356213979402,,,
85,7,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8930745814307458,229.18347186538762,,,
86,7,Solar_Atl,NeuralNet,Ensemble,856,0.8926940639269406,169.41623929614562,,,
87,7,Solar_Atl,RNN,Ensemble,856,0.8919330289193302,242.67125129514642,,,
88,7,Solar_Atl,RidgeCV,Ensemble,1634,0.8978328173374613,171.5806935210963,,,
89,7,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9050098508302844,235.16397319430016,,,
90,7,Solar_Atl,NeuralNet,Ensemble,1634,0.8969884604559527,173.99833151686838,,,
91,7,Solar_Atl,RNN,Ensemble,1634,0.8960033774275258,259.61959904075957,,,
92,7,Solar_Atl,RidgeCV,Ensemble,2413,0.9045361150624308,179.22080466427525,,,
93,7,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.908645487592856,234.53682694500276,,,
94,7,Solar_Atl,NeuralNet,Ensemble,2413,0.905010273431326,176.00978833689985,,,
95,7,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.41428636899764,,,
96,8,Solar_Atl,RidgeCV,Ensemble,856,0.8924403855910705,163.77212962303162,,,
97,8,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8929477422628107,229.3038822840096,,,
98,8,Solar_Atl,NeuralNet,Ensemble,856,0.8914256722475901,173.15757396785358,,,
99,8,Solar_Atl,RNN,Ensemble,856,0.8916793505834602,242.4806805447084,,,
100,8,Solar_Atl,RidgeCV,Ensemble,1634,0.8982549957782155,172.09517515469173,,,
101,8,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9033211370672672,236.6048630786038,,,
102,8,Solar_Atl,NeuralNet,Ensemble,1634,0.9005066141289052,173.55265094298355,,,
103,8,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.60341859212366,,,
104,8,Solar_Atl,RidgeCV,Ensemble,2413,0.9034297455350088,179.72076000912608,,,
105,8,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.90990990990991,232.65677851171887,,,
106,8,Solar_Atl,NeuralNet,Ensemble,2413,0.9051683262209578,178.52663202350132,,,
107,8,Solar_Atl,RNN,Ensemble,2413,0.9121226489647544,274.4677500842553,,,
108,9,Solar_Atl,RidgeCV,Ensemble,856,0.8916793505834602,164.14917197535058,,,
109,9,Solar_Atl,RandomForestRegressor,Ensemble,856,0.8951040081177067,228.22496383937144,,,
110,9,Solar_Atl,NeuralNet,Ensemble,856,0.8895230847285642,171.50961624772768,,,
111,9,Solar_Atl,RNN,Ensemble,856,0.8920598680872653,242.7631892469966,,,
112,9,Solar_Atl,RidgeCV,Ensemble,1634,0.8981142696312975,172.1196260555777,,,
113,9,Solar_Atl,RandomForestRegressor,Ensemble,1634,0.9009287925696594,236.19500360448663,,,
114,9,Solar_Atl,NeuralNet,Ensemble,1634,0.8989586265128061,170.36798103263024,,,
115,9,Solar_Atl,RNN,Ensemble,1634,0.8961441035744442,259.19990475609046,,,
116,9,Solar_Atl,RidgeCV,Ensemble,2413,0.9061166429587484,178.93286728880062,,,
117,9,Solar_Atl,RandomForestRegressor,Ensemble,2413,0.9088035403824878,234.34623364821567,,,
118,9,Solar_Atl,NeuralNet,Ensemble,2413,0.9042200094831674,180.43701118094071,,,
119,9,Solar_Atl,RNN,Ensemble,2413,0.912280701754386,274.46197878474624,,,
90,0,Solar_Atl,RidgeCV,ICP,856,0.6626078132927448,72.37392563132131,120.0,0.0,
91,0,Solar_Atl,RidgeCV,Weighted_ICP,856,0.7415017757483511,89.70459039377329,121.0,1.0,
92,0,Solar_Atl,RandomForestRegressor,ICP,856,0.7822171486555048,103.40730769230775,124.0,4.0,
93,0,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7536783358701167,99.702479338843,125.0,5.0,
94,0,Solar_Atl,NeuralNet,ICP,856,0.7018011161846778,76.71222686767578,126.0,6.0,
95,0,Solar_Atl,NeuralNet,Weighted_ICP,856,0.7025621511922882,78.23241424560547,127.0,7.0,
96,0,Solar_Atl,RidgeCV,ICP,1634,0.7482409231635238,84.35108957499254,128.0,8.0,
97,0,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.8067830002814523,103.82285870276381,129.0,9.0,
98,0,Solar_Atl,RandomForestRegressor,ICP,1634,0.8316915282859555,145.79999999999995,132.0,12.0,
