itrial,train_frac,method,precision,recall,F1
0,0.3,ECAD,0.7392739273927392,0.7777777777777778,0.7580372250423012
0,0.3,HBOS,0.05613850996852046,0.3715277777777778,0.09753874202370101
0,0.3,IForest,0.0315028901734104,0.3784722222222222,0.058164354322305226
0,0.3,OCSVM,0.0076636120347092695,0.65625,0.015150300601202406
0,0.3,PCA,0.021050299135829825,0.3298611111111111,0.039575088523224326
0,0.3,SVC,0.3140096618357488,0.22569444444444445,0.26262626262626265
0,0.3,GBoosting,0.07061298076923077,0.8159722222222222,0.12997787610619468
0,0.3,KNN,0.6601941747572816,0.4722222222222222,0.5506072874493927
0,0.3,MLPClassifer,0.17792302106027597,0.8506944444444444,0.29429429429429427
0,0.4,ECAD,0.5636856368563685,0.8286852589641435,0.6709677419354838
0,0.4,HBOS,0.05535804977145759,0.4342629482071713,0.09819819819819821
0,0.4,IForest,0.034412265758091996,0.40239043824701193,0.06340238543628375
0,0.4,OCSVM,0.007881914588707366,0.6573705179282868,0.015577059240028324
0,0.4,PCA,0.025443110348770726,0.3545816733067729,0.0474793278207522
0,0.4,SVC,0.3004115226337449,0.2908366533864542,0.29554655870445345
0,0.4,GBoosting,0.07000642260757868,0.8685258964143426,0.12956909361069838
0,0.4,KNN,0.40476190476190477,0.5418326693227091,0.4633730834752981
0,0.4,MLPClassifer,0.07333558634673876,0.8645418326693227,0.135202492211838
0,0.5,ECAD,0.6727941176470589,0.820627802690583,0.7393939393939395
0,0.5,HBOS,0.05891805034815212,0.49327354260089684,0.10526315789473684
0,0.5,IForest,0.02976190476190476,0.4484304932735426,0.055819145967066705
0,0.5,OCSVM,0.009293225727561751,0.6816143497757847,0.01833644972555643
0,0.5,PCA,0.025006251562890724,0.4484304932735426,0.047370914258645196
0,0.5,SVC,0.2491103202846975,0.31390134529147984,0.2777777777777778
0,0.5,GBoosting,0.0893719806763285,0.8295964125560538,0.16136066288704753
0,0.5,KNN,0.22016806722689075,0.5874439461883408,0.32029339853300737
0,0.5,MLPClassifer,0.1330117160578911,0.8654708520179372,0.23058542413381125
0,0.6,ECAD,0.6219512195121951,0.7727272727272727,0.6891891891891893
0,0.6,HBOS,0.04245283018867924,0.2727272727272727,0.07346938775510203
0,0.6,IForest,0.013941018766756031,0.19696969696969696,0.026039058587881823
0,0.6,OCSVM,0.005459724639974679,0.5227272727272727,0.010806577916992952
0,0.6,PCA,0.008792965627498001,0.16666666666666666,0.0167046317388003
0,0.6,SVC,0.3558282208588957,0.4393939393939394,0.3932203389830508
0,0.6,GBoosting,0.07473309608540925,0.7954545454545454,0.13662979830839297
0,0.6,KNN,0.5114503816793893,0.5075757575757576,0.5095057034220533
0,0.6,MLPClassifer,0.10873983739837398,0.8106060606060606,0.19175627240143367
0,0.7,ECAD,0.688,0.7962962962962963,0.7381974248927038
0,0.7,HBOS,0.04072398190045249,0.25,0.07003891050583658
0,0.7,IForest,0.016260162601626018,0.24074074074074073,0.03046280023432923
0,0.7,OCSVM,0.0061865297070152914,0.49074074074074076,0.012219020172910664
0,0.7,PCA,0.010549694614103275,0.17592592592592593,0.01990570979570456
0,0.7,SVC,0.23636363636363636,0.48148148148148145,0.3170731707317073
0,0.7,GBoosting,0.08166969147005444,0.8333333333333334,0.14876033057851237
0,0.7,KNN,0.13895781637717122,0.5185185185185185,0.21917808219178084
0,0.7,MLPClassifer,0.10545023696682465,0.8240740740740741,0.1869747899159664
