index,itrial,dataname,muh_fun,method,alpha,coverage,width,train_size
60,5,Palo_Alto,RidgeCV,Ensemble,,0.8860984271943176,141.71051753015522,876
61,5,Palo_Alto,RandomForestRegressor,Ensemble,,0.8920598680872653,109.3682740643833,876
62,5,Palo_Alto,NeuralNet,Ensemble,,0.8942161339421614,137.16071911066064,876
63,5,Palo_Alto,RNN,Ensemble,,0.8948503297818367,154.3238718936411,876
64,5,Palo_Alto,RidgeCV,Ensemble,,0.8926259499014917,135.9590589965989,1654
65,5,Palo_Alto,RandomForestRegressor,Ensemble,,0.8945961159583451,126.71563108140819,1654
66,5,Palo_Alto,NeuralNet,Ensemble,,0.8875598086124402,127.1771817288582,1654
67,5,Palo_Alto,RNN,Ensemble,,0.8957219251336899,160.00066277807713,1654
68,5,Palo_Alto,RidgeCV,Ensemble,,0.8857278330962541,142.409552424446,2433
69,5,Palo_Alto,RandomForestRegressor,Ensemble,,0.9143353880195986,116.78191290094676,2433
70,5,Palo_Alto,NeuralNet,Ensemble,,0.8964754227912123,111.50697931783077,2433
71,5,Palo_Alto,RNN,Ensemble,,0.9171803382329698,163.2551102008965,2433
72,6,Palo_Alto,RidgeCV,Ensemble,,0.8871131405377981,139.4991912559305,876
73,6,Palo_Alto,RandomForestRegressor,Ensemble,,0.8916793505834602,107.37634053090628,876
74,6,Palo_Alto,NeuralNet,Ensemble,,0.8939624556062912,138.56772820466577,876
75,6,Palo_Alto,RNN,Ensemble,,0.8948503297818367,154.34998642930609,876
76,6,Palo_Alto,RidgeCV,Ensemble,,0.8923444976076556,135.93296789046877,1654
77,6,Palo_Alto,RandomForestRegressor,Ensemble,,0.8941739375175908,127.59395351414331,1654
78,6,Palo_Alto,NeuralNet,Ensemble,,0.8884041654939487,128.89216109845935,1654
79,6,Palo_Alto,RNN,Ensemble,,0.8955811989867717,159.86242173410548,1654
80,6,Palo_Alto,RidgeCV,Ensemble,,0.8827248300932512,143.0813612549915,2433
81,6,Palo_Alto,RandomForestRegressor,Ensemble,,0.913387071281808,116.91511702790883,2433
82,6,Palo_Alto,NeuralNet,Ensemble,,0.8960012644223171,117.41625132124102,2433
83,6,Palo_Alto,RNN,Ensemble,,0.9171803382329698,163.2712651943718,2433
84,7,Palo_Alto,RidgeCV,Ensemble,,0.8873668188736682,142.08560645679216,876
85,7,Palo_Alto,RandomForestRegressor,Ensemble,,0.8915525114155252,113.51377269143185,876
86,7,Palo_Alto,NeuralNet,Ensemble,,0.8942161339421614,138.90843868838377,876
87,7,Palo_Alto,RNN,Ensemble,,0.8945966514459666,154.28815863192526,876
88,7,Palo_Alto,RidgeCV,Ensemble,,0.8926259499014917,136.14829767159384,1654
89,7,Palo_Alto,RandomForestRegressor,Ensemble,,0.8952997466929355,128.63342786522392,1654
90,7,Palo_Alto,NeuralNet,Ensemble,,0.8867154517309316,126.56384447484844,1654
91,7,Palo_Alto,RNN,Ensemble,,0.8957219251336899,159.86542412721246,1654
92,7,Palo_Alto,RidgeCV,Ensemble,,0.8926821558400506,141.95893868555834,2433
93,7,Palo_Alto,RandomForestRegressor,Ensemble,,0.9141773352299668,112.12656866653927,2433
94,7,Palo_Alto,NeuralNet,Ensemble,,0.8956851588430536,114.12707294894,2433
95,7,Palo_Alto,RNN,Ensemble,,0.9171803382329698,163.25088039434004,2433
96,8,Palo_Alto,RidgeCV,Ensemble,,0.8873668188736682,145.91794275908148,876
97,8,Palo_Alto,RandomForestRegressor,Ensemble,,0.8918061897513953,105.89225953849908,876
98,8,Palo_Alto,NeuralNet,Ensemble,,0.8930745814307458,136.43189555955573,876
99,8,Palo_Alto,RNN,Ensemble,,0.8947234906139016,154.27225162808992,876
100,8,Palo_Alto,RidgeCV,Ensemble,,0.8922037714607374,135.8026521282677,1654
101,8,Palo_Alto,RandomForestRegressor,Ensemble,,0.8919223191669012,127.68028208444076,1654
102,8,Palo_Alto,NeuralNet,Ensemble,,0.8843231072333241,124.341590722785,1654
103,8,Palo_Alto,RNN,Ensemble,,0.8958626512806079,160.06721184311252,1654
104,8,Palo_Alto,RidgeCV,Ensemble,,0.8817765133554607,143.26121268430163,2433
105,8,Palo_Alto,RandomForestRegressor,Ensemble,,0.9129129129129128,119.67748547112407,2433
106,8,Palo_Alto,NeuralNet,Ensemble,,0.8956851588430536,114.02671079675233,2433
107,8,Palo_Alto,RNN,Ensemble,,0.9171803382329698,163.20981740637174,2433
108,9,Palo_Alto,RidgeCV,Ensemble,,0.8897767630644343,147.66909815905169,876
109,9,Palo_Alto,RandomForestRegressor,Ensemble,,0.8905377980720447,109.04084804959395,876
110,9,Palo_Alto,NeuralNet,Ensemble,,0.8932014205986809,137.46623585225797,876
111,9,Palo_Alto,RNN,Ensemble,,0.8949771689497716,154.11770712213155,876
112,9,Palo_Alto,RidgeCV,Ensemble,,0.8919223191669012,135.54416758724088,1654
113,9,Palo_Alto,RandomForestRegressor,Ensemble,,0.8954404728398536,126.15071032029283,1654
114,9,Palo_Alto,NeuralNet,Ensemble,,0.8847452856740783,125.67670992275524,1654
115,9,Palo_Alto,RNN,Ensemble,,0.8957219251336899,159.7834753533991,1654
116,9,Palo_Alto,RidgeCV,Ensemble,,0.8849375691480955,142.77278246837838,2433
117,9,Palo_Alto,RandomForestRegressor,Ensemble,,0.9149675991781256,112.71988186884695,2433
118,9,Palo_Alto,NeuralNet,Ensemble,,0.8961593172119487,112.43203644874792,2433
119,9,Palo_Alto,RNN,Ensemble,,0.9173383910226016,163.23639938804922,2433
1,0,Palo_Alto,RidgeCV,ICP,,0.4633434804667682,85.93700555972599,876
2,0,Palo_Alto,RidgeCV,Weighted_ICP,,0.5192795535261289,100.93720183582592,876
4,0,Palo_Alto,RandomForestRegressor,ICP,,0.8458904109589042,90.21869918699957,876
5,0,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.8905377980720447,109.57894736842665,876
7,0,Palo_Alto,NeuralNet,ICP,,0.7270421106037545,48.33501815795898,876
8,0,Palo_Alto,NeuralNet,Weighted_ICP,,0.7290715372907154,46.68746566772461,876
10,0,Palo_Alto,RNN,ICP,,0.5857432775240995,18.48394012451172,876
11,0,Palo_Alto,RNN,Weighted_ICP,,0.6012176560121766,18.92317008972168,876
13,0,Palo_Alto,RidgeCV,ICP,,0.4793132564030397,97.93114073395792,1654
14,0,Palo_Alto,RidgeCV,Weighted_ICP,,0.5185758513931888,113.63406234382177,1654
16,0,Palo_Alto,RandomForestRegressor,ICP,,0.816493104418801,74.9548387096736,1654
17,0,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.8354911342527441,89.48923076922317,1654
