index,Unnamed: 0,itrial,dataname,muh_fun,method,train_size,coverage,width
148,206.0,6,Solar_Atl,RandomForestRegressor,ICP,1654,0.8125527723050943,133.53846153846152
149,208.0,6,Solar_Atl,NeuralNet,ICP,1654,0.5956937799043063,105.48773956298828
150,210.0,6,Solar_Atl,RidgeCV,ICP,2433,0.6666666666666666,172.02672216457253
151,212.0,6,Solar_Atl,RandomForestRegressor,ICP,2433,0.8560139086454875,226.7722222222224
152,214.0,6,Solar_Atl,NeuralNet,ICP,2433,0.7984826932195354,130.57493591308594
153,216.0,7,Solar_Atl,RidgeCV,ICP,876,0.46308980213089795,107.64475384223428
154,218.0,7,Solar_Atl,RandomForestRegressor,ICP,876,0.7502536783358701,88.7458661417323
155,220.0,7,Solar_Atl,NeuralNet,ICP,876,0.4037290715372907,66.51010894775389
156,222.0,7,Solar_Atl,RidgeCV,ICP,1654,0.6650717703349283,129.85021295064806
157,224.0,7,Solar_Atl,RandomForestRegressor,ICP,1654,0.5800731775963974,133.18095238095228
158,226.0,7,Solar_Atl,NeuralNet,ICP,1654,0.6239797354348438,97.33264923095705
159,228.0,7,Solar_Atl,RidgeCV,ICP,2433,0.698909435751541,178.56613394372295
160,230.0,7,Solar_Atl,RandomForestRegressor,ICP,2433,0.8435277382645804,184.75449101796409
161,232.0,7,Solar_Atl,NeuralNet,ICP,2433,0.7474316421684842,131.98866271972656
162,234.0,8,Solar_Atl,RidgeCV,ICP,876,0.6666666666666666,123.00341499043778
163,236.0,8,Solar_Atl,RandomForestRegressor,ICP,876,0.7940131912734653,121.18125000000008
164,238.0,8,Solar_Atl,NeuralNet,ICP,876,0.7422628107559615,154.39744567871094
165,240.0,8,Solar_Atl,RidgeCV,ICP,1654,0.6187728679988742,127.3733188421241
166,242.0,8,Solar_Atl,RandomForestRegressor,ICP,1654,0.5716296087813115,119.15722222222229
167,244.0,8,Solar_Atl,NeuralNet,ICP,1654,0.5582606248240923,91.79295349121094
168,246.0,8,Solar_Atl,RidgeCV,ICP,2433,0.7232495653548285,179.76674789405774
169,248.0,8,Solar_Atl,RandomForestRegressor,ICP,2433,0.8566461198040145,223.81063829787257
170,250.0,8,Solar_Atl,NeuralNet,ICP,2433,0.617196143511933,114.91800689697266
171,252.0,9,Solar_Atl,RidgeCV,ICP,876,0.5492135971588027,109.56607657924677
172,254.0,9,Solar_Atl,RandomForestRegressor,ICP,876,0.5494672754946728,134.19746478873233
173,256.0,9,Solar_Atl,NeuralNet,ICP,876,0.578259766615931,124.83274841308594
174,258.0,9,Solar_Atl,RidgeCV,ICP,1654,0.6643681396003377,135.51122978930331
175,260.0,9,Solar_Atl,RandomForestRegressor,ICP,1654,0.5630453138193077,125.12263670411984
176,262.0,9,Solar_Atl,NeuralNet,ICP,1654,0.7659724176752041,230.0
177,264.0,9,Solar_Atl,RidgeCV,ICP,2433,0.7074442863916548,180.86629315236252
178,266.0,9,Solar_Atl,RandomForestRegressor,ICP,2433,0.839576418523787,176.62207965784572
179,268.0,9,Solar_Atl,NeuralNet,ICP,2433,0.7393709498972657,134.33558654785156
180,270.0,0,Solar_Atl,RNN,ICP,876,0.5720446473871131,112.41902923583984
181,272.0,0,Solar_Atl,RNN,ICP,1654,0.7856740782437377,157.79747009277344
182,274.0,0,Solar_Atl,RNN,ICP,2433,0.8391022601548918,298.0
183,276.0,1,Solar_Atl,RNN,ICP,876,0.5112886859462202,105.29397583007812
184,278.0,1,Solar_Atl,RNN,ICP,1654,0.7340275823247959,152.61083984375
185,280.0,1,Solar_Atl,RNN,ICP,2433,0.8590169116484906,196.2499847412109
186,282.0,2,Solar_Atl,RNN,ICP,876,0.6100963977676307,114.12506866455078
187,284.0,2,Solar_Atl,RNN,ICP,1654,0.7604840979453983,154.99716186523438
188,286.0,2,Solar_Atl,RNN,ICP,2433,0.8522206416943259,187.9197235107422
189,288.0,3,Solar_Atl,RNN,ICP,876,0.5561897513952309,118.75000762939452
190,290.0,3,Solar_Atl,RNN,ICP,1654,0.7955249085280045,160.4427490234375
191,292.0,3,Solar_Atl,RNN,ICP,2433,0.6649280859807175,124.87396240234376
192,294.0,4,Solar_Atl,RNN,ICP,876,0.5535261288685946,119.73595428466795
193,296.0,4,Solar_Atl,RNN,ICP,1654,0.7841260906276386,148.4386444091797
194,298.0,4,Solar_Atl,RNN,ICP,2433,0.8191876086612929,186.805419921875
195,300.0,5,Solar_Atl,RNN,ICP,876,0.6916539827498731,169.20376586914062
196,302.0,5,Solar_Atl,RNN,ICP,1654,0.7872220658598368,144.00320434570312
197,304.0,5,Solar_Atl,RNN,ICP,2433,0.8386281017859966,190.63540649414062
198,306.0,6,Solar_Atl,RNN,ICP,876,0.5574581430745814,122.93407440185548
199,308.0,6,Solar_Atl,RNN,ICP,1654,0.7531663383056572,156.24977111816406
200,310.0,6,Solar_Atl,RNN,ICP,2433,0.8500079026394816,324.7799987792969
201,312.0,7,Solar_Atl,RNN,ICP,876,0.5416032470826991,111.12850952148438
202,314.0,7,Solar_Atl,RNN,ICP,1654,0.7683647621728117,148.17173767089844
203,316.0,7,Solar_Atl,RNN,ICP,2433,0.8609135451240715,350.0
204,318.0,8,Solar_Atl,RNN,ICP,876,0.6316590563165906,127.79930114746094
205,320.0,8,Solar_Atl,RNN,ICP,1654,0.7336054038840416,138.35932922363278
206,322.0,8,Solar_Atl,RNN,ICP,2433,0.8476371107950055,196.16775512695312
207,324.0,9,Solar_Atl,RNN,ICP,876,0.5735667174023339,126.68851470947266
208,326.0,9,Solar_Atl,RNN,ICP,1654,0.7327610470025331,139.32801818847656
209,328.0,9,Solar_Atl,RNN,ICP,2433,0.8372056266793109,182.36346435546875
240,0.0,0,Solar_Atl,RidgeCV,JaB,876,0.4918822932521562,110.630061678141
241,1.0,0,Solar_Atl,NeuralNet,JaB,876,0.4440639269406393,71.26346407977881
242,2.0,0,Solar_Atl,RNN,JaB,876,0.7179096905124303,186.0
243,3.0,0,Solar_Atl,RidgeCV,JaB,1654,0.6785814804390656,135.05581280861395
244,4.0,0,Solar_Atl,NeuralNet,JaB,1654,0.6552209400506614,78.41584384079515
245,5.0,0,Solar_Atl,RNN,JaB,1654,0.7852518998029834,246.0
246,6.0,0,Solar_Atl,RidgeCV,JaB,2433,0.6875296348980561,176.6428320232061
247,7.0,0,Solar_Atl,NeuralNet,JaB,2433,0.744586691955113,98.4562673448885
248,8.0,0,Solar_Atl,RNN,JaB,2433,0.7109214477635529,89.0749637643094
249,9.0,1,Solar_Atl,RidgeCV,JaB,876,0.4850329781836631,108.91731795328785
250,10.0,1,Solar_Atl,NeuralNet,JaB,876,0.408802638254693,67.7846857272078
251,11.0,1,Solar_Atl,RNN,JaB,876,0.3751902587519026,66.00366919873271
252,12.0,1,Solar_Atl,RidgeCV,JaB,1654,0.6733746130030961,134.7965431317875
253,13.0,1,Solar_Atl,NeuralNet,JaB,1654,0.6584576414297777,75.53155710564636
254,14.0,1,Solar_Atl,RNN,JaB,1654,0.6103292991837883,69.97497919076669
255,15.0,1,Solar_Atl,RidgeCV,JaB,2433,0.6903745851114272,177.3141511147885
256,16.0,1,Solar_Atl,NeuralNet,JaB,2433,0.7298877825193615,99.85746282324743
257,17.0,1,Solar_Atl,RNN,JaB,2433,0.6970128022759602,88.39301330409508
258,18.0,2,Solar_Atl,RidgeCV,JaB,876,0.4917554540842212,110.22939892974628
259,19.0,2,Solar_Atl,NeuralNet,JaB,876,0.4241501775748351,67.78989483773307
260,20.0,2,Solar_Atl,RNN,JaB,876,0.3768391679350583,67.13294043262036
261,21.0,2,Solar_Atl,RidgeCV,JaB,1654,0.6739375175907684,134.62511437674306
262,22.0,2,Solar_Atl,NeuralNet,JaB,1654,0.6788629327329018,78.29009825399663
263,23.0,2,Solar_Atl,RNN,JaB,1654,0.6728117084154236,68.60911816838998
264,24.0,2,Solar_Atl,RidgeCV,JaB,2433,0.6859491070017386,176.441890198354
