itrial,dataname,muh_fun,method,train_size,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.009514144361283776,0.3652160429730565,circular,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.48699733603957884,1.2488654840977431e-05,circular,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.10833439046048458,0.006671764477732022,circular,12
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9854116453126982,455.02770210968094,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9851579347963973,458.3116030860428,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9859190663453,373.7943581218789,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9856653558289991,352.2342739743283,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8943295699606749,162.43230260450622,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8952175567677281,163.66684512479054,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.894075859444374,219.76783878505756,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8920461753139668,209.14525941135327,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7913231003425092,83.47395939503207,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7910693898262083,84.21933073966811,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.8035012051249524,113.1713736795389,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.8012178104782444,103.57582349184193,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.48902702016998606,21.827845312184017,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.4895344412025878,23.903621628137717,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5395154129138653,7.578766882289262,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5174425979956869,13.88764816454464,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.19243942661423316,7.031282199449179,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.1885069136115692,7.812650543468644,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.49689204617531396,0.0010504768007998534,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.28669288342001775,1.2175198613903753,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.10059621971330712,3.7443914821076203,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.10173791703666117,4.136978047219169,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.4958772041101104,0.00031929383369552484,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.1680832170493467,0.44362254881983104,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.009006723328681973,0.32534421116745066,circular,24
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.009133578586832425,0.34447870973179545,circular,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.49384751997970316,1.2928556474760286e-05,circular,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.1413167575796017,0.003944379004079311,circular,24
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9859190663453,455.69506342152255,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9851579347963973,458.8379695464183,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9856653558289991,379.0174857699895,circular,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9860459216034505,353.37777541291877,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8924267410884181,161.21411809672554,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8928073068628695,162.28388842099173,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8944564252188253,218.78137999502658,circular,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.89293416212102,209.73012554357985,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7900545477610047,83.18760893740834,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.790435113535456,83.83930416070307,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.8023595078015984,113.05228032945314,circular,48
