itrial,dataname,muh_fun,method,train_size,coverage,width
0,Mountain_View,RidgeCV,Ensemble,856,0.8963723997970573,90.21526732459516
0,Mountain_View,RidgeCV,ICP,856,0.821790969051243,81.94340496125815
0,Mountain_View,RidgeCV,Weighted_ICP,856,0.83675799086758,99.44182450952714
0,Mountain_View,RandomForestRegressor,Ensemble,856,0.8951040081177067,114.55026655608259
0,Mountain_View,RandomForestRegressor,ICP,856,0.8668188736681888,98.85352112677835
0,Mountain_View,RandomForestRegressor,Weighted_ICP,856,0.8495687468290208,85.96551724138868
0,Mountain_View,NeuralNet,Ensemble,856,0.8937087772704211,140.41569912267676
0,Mountain_View,NeuralNet,ICP,856,0.6490360223236935,46.21015167236328
0,Mountain_View,NeuralNet,Weighted_ICP,856,0.6640030441400304,55.46861267089844
0,Mountain_View,RNN,Ensemble,856,0.8887620497209539,171.86816973896524
0,Mountain_View,RNN,ICP,856,0.5698883815322171,29.72203254699707
0,Mountain_View,RNN,Weighted_ICP,856,0.5645611364789447,27.84023666381836
0,Mountain_View,RidgeCV,Ensemble,1634,0.9007880664227413,85.1172546727017
0,Mountain_View,RidgeCV,ICP,1634,0.8416830847171405,69.72387341118883
0,Mountain_View,RidgeCV,Weighted_ICP,1634,0.8543484379397692,79.02127378772906
0,Mountain_View,RandomForestRegressor,Ensemble,1634,0.8986771742189699,113.7119917616722
0,Mountain_View,RandomForestRegressor,ICP,1634,0.8419645370109766,90.04430091184285
0,Mountain_View,RandomForestRegressor,Weighted_ICP,1634,0.8819307627357162,104.18255590564951
0,Mountain_View,NeuralNet,Ensemble,1634,0.884323107233324,126.54771236454478
0,Mountain_View,NeuralNet,ICP,1634,0.6649310441880101,52.71823501586914
0,Mountain_View,NeuralNet,Weighted_ICP,1634,0.6497326203208557,44.54960250854492
0,Mountain_View,RNN,Ensemble,1634,0.8917815930199832,156.49011181746062
0,Mountain_View,RNN,ICP,1634,0.5951308753166338,41.92375183105469
0,Mountain_View,RNN,Weighted_ICP,1634,0.5706445257528849,33.84294891357422
0,Mountain_View,RidgeCV,Ensemble,2413,0.9108582266477003,85.11404625381367
0,Mountain_View,RidgeCV,ICP,2413,0.8896791528370476,82.05281782452931
0,Mountain_View,RidgeCV,Weighted_ICP,2413,0.9001106369527422,86.28919487842685
0,Mountain_View,RandomForestRegressor,Ensemble,2413,0.9119645961751225,115.15262290271711
0,Mountain_View,RandomForestRegressor,ICP,2413,0.9125968073336495,120.53118944902273
0,Mountain_View,RandomForestRegressor,Weighted_ICP,2413,0.9058005373794847,131.90899514898777
0,Mountain_View,NeuralNet,Ensemble,2413,0.8978978978978979,113.1017229260159
0,Mountain_View,NeuralNet,ICP,2413,0.7060218112849692,52.824703216552734
0,Mountain_View,NeuralNet,Weighted_ICP,2413,0.7550181760708077,68.62548065185547
0,Mountain_View,RNN,Ensemble,2413,0.8967915283704757,133.8040152293918
0,Mountain_View,RNN,ICP,2413,0.727200885095622,76.66416931152344
0,Mountain_View,RNN,Weighted_ICP,2413,0.7407934250039513,78.22651672363281
1,Mountain_View,RidgeCV,Ensemble,856,0.897767630644343,91.13425386426616
1,Mountain_View,RidgeCV,ICP,856,0.8281329274479959,85.69134228467064
1,Mountain_View,RidgeCV,Weighted_ICP,856,0.8354895991882293,83.25375372312249
1,Mountain_View,RandomForestRegressor,Ensemble,856,0.8935819381024861,112.9302211404082
1,Mountain_View,RandomForestRegressor,ICP,856,0.8668188736681888,97.32587412585744
1,Mountain_View,RandomForestRegressor,Weighted_ICP,856,0.8637747336377474,90.14260977118978
1,Mountain_View,NeuralNet,Ensemble,856,0.8944698122780315,134.5962540573916
1,Mountain_View,NeuralNet,ICP,856,0.6362252663622526,42.155635833740234
1,Mountain_View,NeuralNet,Weighted_ICP,856,0.6642567224759005,50.677730560302734
1,Mountain_View,RNN,Ensemble,856,0.8907914764079148,180.70375464569673
1,Mountain_View,RNN,ICP,856,0.5517503805175038,28.12411880493164
1,Mountain_View,RNN,Weighted_ICP,856,0.5469304921359716,24.338665008544922
1,Mountain_View,RidgeCV,Ensemble,1634,0.8999437095412327,87.12071628960815
1,Mountain_View,RidgeCV,ICP,1634,0.855474247115114,75.10508040030082
1,Mountain_View,RidgeCV,Weighted_ICP,1634,0.8550520686743597,73.07485028683723
1,Mountain_View,RandomForestRegressor,Ensemble,1634,0.8990993526597242,113.56403148798915
1,Mountain_View,RandomForestRegressor,ICP,1634,0.8473121305938643,90.10815584415165
1,Mountain_View,RandomForestRegressor,Weighted_ICP,1634,0.8450605122431748,91.75813953488854
1,Mountain_View,NeuralNet,Ensemble,1634,0.8969884604559527,318.52817337459817
1,Mountain_View,NeuralNet,ICP,1634,0.8422459893048129,244.78546142578125
1,Mountain_View,NeuralNet,Weighted_ICP,1634,0.8347875035181537,241.21400451660156
1,Mountain_View,RNN,Ensemble,1634,0.8871376301716859,146.92221850892517
1,Mountain_View,RNN,ICP,1634,0.6277793414016324,54.09109115600586
1,Mountain_View,RNN,Weighted_ICP,1634,0.6204615817618914,50.21641540527344
1,Mountain_View,RidgeCV,Ensemble,2413,0.9118065433854907,88.3331371617639
1,Mountain_View,RidgeCV,ICP,2413,0.8967915283704757,85.86639166071639
1,Mountain_View,RidgeCV,Weighted_ICP,2413,0.8958432116326853,82.28555104981594
1,Mountain_View,RandomForestRegressor,Ensemble,2413,0.9124387545440177,114.43245446929251
1,Mountain_View,RandomForestRegressor,ICP,2413,0.9225541330804489,137.65881702597565
1,Mountain_View,RandomForestRegressor,Weighted_ICP,2413,0.9266635056108741,136.4910714285552
