index,itrial,dataname,muh_fun,method,alpha,coverage,width,train_size
60,5,Palo_Alto,RidgeCV,Ensemble,,0.8952308472856418,77.20965500527882,856
61,5,Palo_Alto,RandomForestRegressor,Ensemble,,0.8934550989345509,115.12518040373264,856
62,5,Palo_Alto,NeuralNet,Ensemble,,0.8970065956367326,96.82325395962765,856
63,5,Palo_Alto,RNN,Ensemble,,0.8934550989345509,146.56553623509097,856
64,5,Palo_Alto,RidgeCV,Ensemble,,0.8950182943990993,78.37014055928009,1634
65,5,Palo_Alto,RandomForestRegressor,Ensemble,,0.8998029833943146,118.79856678279691,1634
66,5,Palo_Alto,NeuralNet,Ensemble,,0.8975513650436251,84.31954827853579,1634
67,5,Palo_Alto,RNN,Ensemble,,0.8947368421052632,155.5303105905146,1634
68,5,Palo_Alto,RidgeCV,Ensemble,,0.9097518571202782,82.83817655943284,2413
69,5,Palo_Alto,RandomForestRegressor,Ensemble,,0.9114904378062272,117.60139570388651,2413
70,5,Palo_Alto,NeuralNet,Ensemble,,0.9039039039039038,83.25933119616278,2413
71,5,Palo_Alto,RNN,Ensemble,,0.9149675991781256,162.78176179178845,2413
72,6,Palo_Alto,RidgeCV,Ensemble,,0.8951040081177067,77.24481055056745,856
73,6,Palo_Alto,RandomForestRegressor,Ensemble,,0.8935819381024861,114.75858997421629,856
74,6,Palo_Alto,NeuralNet,Ensemble,,0.8940892947742263,101.2335536570477,856
75,6,Palo_Alto,RNN,Ensemble,,0.8937087772704211,146.63436852278178,856
76,6,Palo_Alto,RidgeCV,Ensemble,,0.8950182943990993,78.32424247748617,1634
77,6,Palo_Alto,RandomForestRegressor,Ensemble,,0.8996622572473966,118.45017810942056,1634
78,6,Palo_Alto,NeuralNet,Ensemble,,0.8961441035744442,82.20437220139819,1634
79,6,Palo_Alto,RNN,Ensemble,,0.8947368421052632,155.76328449962844,1634
80,6,Palo_Alto,RidgeCV,Ensemble,,0.9091196459617512,82.17068187357964,2413
81,6,Palo_Alto,RandomForestRegressor,Ensemble,,0.9113323850165956,116.71762451020528,2413
82,6,Palo_Alto,NeuralNet,Ensemble,,0.905642484589853,83.5705184442958,2413
83,6,Palo_Alto,RNN,Ensemble,,0.9151256519677572,162.76974073408468,2413
84,7,Palo_Alto,RidgeCV,Ensemble,,0.8944698122780315,76.84625763639761,856
85,7,Palo_Alto,RandomForestRegressor,Ensemble,,0.8944698122780315,114.49307627147488,856
86,7,Palo_Alto,NeuralNet,Ensemble,,0.8951040081177067,94.65975604437666,856
87,7,Palo_Alto,RNN,Ensemble,,0.8938356164383562,146.55204223362998,856
88,7,Palo_Alto,RidgeCV,Ensemble,,0.8950182943990993,78.46835006119329,1634
89,7,Palo_Alto,RandomForestRegressor,Ensemble,,0.8996622572473966,119.36286394673456,1634
90,7,Palo_Alto,NeuralNet,Ensemble,,0.8968477343090346,83.18194521235337,1634
91,7,Palo_Alto,RNN,Ensemble,,0.8945961159583451,155.63685890738824,1634
92,7,Palo_Alto,RidgeCV,Ensemble,,0.9094357515410147,82.02734196575555,2413
93,7,Palo_Alto,RandomForestRegressor,Ensemble,,0.9103840682788052,117.49290955315016,2413
94,7,Palo_Alto,NeuralNet,Ensemble,,0.9043780622727992,84.80899111067596,2413
95,7,Palo_Alto,RNN,Ensemble,,0.915283704757389,162.8619696747716,2413
96,8,Palo_Alto,RidgeCV,Ensemble,,0.8952308472856418,76.94511491200451,856
97,8,Palo_Alto,RandomForestRegressor,Ensemble,,0.8937087772704211,115.25545462752319,856
98,8,Palo_Alto,NeuralNet,Ensemble,,0.8949771689497716,88.81682634714852,856
