index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,Mountain_View,RidgeCV,Ensemble,0.05,0.9507705479452054,129.10360484551998
1,0,Mountain_View,RidgeCV,ICP,0.05,0.9160958904109592,103.26632913610294
2,0,Mountain_View,RidgeCV,Weighted_ICP,0.05,0.9248002283105022,113.33125700757986
3,0,Mountain_View,RandomForestRegressor,Ensemble,0.05,0.9506278538812786,174.68049870642508
4,0,Mountain_View,RandomForestRegressor,ICP,0.05,0.9347888127853882,152.91587708064841
5,0,Mountain_View,RandomForestRegressor,Weighted_ICP,0.05,0.9370719178082192,157.7066666666711
6,0,Mountain_View,Sequential,Ensemble,0.05,0.9422089041095891,170.33619906482167
7,0,Mountain_View,Sequential,ICP,0.05,0.7335901826484018,76.15834045410156
8,0,Mountain_View,Sequential,Weighted_ICP,0.05,0.7512842465753424,78.56845092773438
9,0,Mountain_View,RNN,Ensemble,0.05,0.9417808219178082,202.6149644097002
10,0,Mountain_View,RNN,ICP,0.05,0.6549657534246576,57.40676879882813
11,0,Mountain_View,RNN,Weighted_ICP,0.05,0.6408390410958904,52.18749618530274
12,0,Mountain_View,RidgeCV,Ensemble,0.1,0.9018264840182648,87.62331677910257
13,0,Mountain_View,RidgeCV,ICP,0.1,0.8624429223744292,75.60852278496583
14,0,Mountain_View,RidgeCV,Weighted_ICP,0.1,0.865582191780822,78.18981698453834
15,0,Mountain_View,RandomForestRegressor,Ensemble,0.1,0.8995433789954338,115.84634441229235
16,0,Mountain_View,RandomForestRegressor,ICP,0.1,0.8808504566210046,103.44399722413631
17,0,Mountain_View,RandomForestRegressor,Weighted_ICP,0.1,0.8837043378995434,103.40888888889394
18,0,Mountain_View,Sequential,Ensemble,0.1,0.8872716894977168,128.02236273722866
19,0,Mountain_View,Sequential,ICP,0.1,0.6603881278538812,53.8463020324707
20,0,Mountain_View,Sequential,Weighted_ICP,0.1,0.6666666666666666,50.92619323730469
21,0,Mountain_View,RNN,Ensemble,0.1,0.8864155251141552,147.96723961916658
22,0,Mountain_View,RNN,ICP,0.1,0.6175799086757989,46.15546798706055
23,0,Mountain_View,RNN,Weighted_ICP,0.1,0.6075913242009132,43.51850128173828
24,0,Mountain_View,RidgeCV,Ensemble,0.15000000000000002,0.8517408675799086,66.06765293328486
25,0,Mountain_View,RidgeCV,ICP,0.15000000000000002,0.7940924657534246,57.116935254904966
26,0,Mountain_View,RidgeCV,Weighted_ICP,0.15000000000000002,0.8154965753424658,62.961114690389174
27,0,Mountain_View,RandomForestRegressor,Ensemble,0.15000000000000002,0.8595890410958904,88.29596202810512
28,0,Mountain_View,RandomForestRegressor,ICP,0.15000000000000002,0.8164954337899544,75.9847328244323
29,0,Mountain_View,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.821917808219178,76.191818181821
30,0,Mountain_View,Sequential,Ensemble,0.15000000000000002,0.8393264840182648,104.07635240288214
31,0,Mountain_View,Sequential,ICP,0.15000000000000002,0.6067351598173516,35.953128814697266
32,0,Mountain_View,Sequential,Weighted_ICP,0.15000000000000002,0.6374143835616438,45.11448669433594
33,0,Mountain_View,RNN,Ensemble,0.15000000000000002,0.8319063926940641,111.95561846723685
34,0,Mountain_View,RNN,ICP,0.15000000000000002,0.5760559360730594,32.73409652709961
35,0,Mountain_View,RNN,Weighted_ICP,0.15000000000000002,0.576912100456621,33.20224380493164
36,0,Mountain_View,RidgeCV,Ensemble,0.2,0.8040810502283106,54.099035227768105
37,0,Mountain_View,RidgeCV,ICP,0.2,0.7278824200913242,45.976723271883316
38,0,Mountain_View,RidgeCV,Weighted_ICP,0.2,0.7587043378995434,51.446427492636595
39,0,Mountain_View,RandomForestRegressor,Ensemble,0.2,0.8105022831050228,73.75620214739774
40,0,Mountain_View,RandomForestRegressor,ICP,0.2,0.7470034246575342,67.7183098591601
41,0,Mountain_View,RandomForestRegressor,Weighted_ICP,0.2,0.7617009132420092,70.2666666666635
42,0,Mountain_View,Sequential,Ensemble,0.2,0.8000856164383562,87.20693801710706
43,0,Mountain_View,Sequential,ICP,0.2,0.6003139269406392,31.676258087158203
44,0,Mountain_View,Sequential,Weighted_ICP,0.2,0.603595890410959,33.191024780273445
45,0,Mountain_View,RNN,Ensemble,0.2,0.788670091324201,94.81347305130066
46,0,Mountain_View,RNN,ICP,0.2,0.5719178082191779,30.95402526855469
47,0,Mountain_View,RNN,Weighted_ICP,0.2,0.5562214611872146,27.26568984985352
48,0,Mountain_View,RidgeCV,Ensemble,0.25,0.7587043378995434,45.62543853039625
49,0,Mountain_View,RidgeCV,ICP,0.25,0.6799372146118722,38.919446300134524
50,0,Mountain_View,RidgeCV,Weighted_ICP,0.25,0.7014840182648402,42.925786234082906
51,0,Mountain_View,RandomForestRegressor,Ensemble,0.25,0.757277397260274,61.17258268779867
52,0,Mountain_View,RandomForestRegressor,ICP,0.25,0.6933504566210046,54.65836224844304
53,0,Mountain_View,RandomForestRegressor,Weighted_ICP,0.25,0.6952054794520548,55.51111111110751
54,0,Mountain_View,Sequential,Ensemble,0.25,0.7542808219178082,74.21740536971646
55,0,Mountain_View,Sequential,ICP,0.25,0.5686358447488584,26.187843322753906
56,0,Mountain_View,Sequential,Weighted_ICP,0.25,0.5565068493150684,22.271869659423828
57,0,Mountain_View,RNN,Ensemble,0.25,0.7400114155251142,81.62965259651675
58,0,Mountain_View,RNN,ICP,0.25,0.5319634703196348,19.380748748779297
59,0,Mountain_View,RNN,Weighted_ICP,0.25,0.5325342465753424,19.048315048217773
