,Unnamed: 0,index,itrial,dataname,muh_fun,method,train_size,coverage,width
55,544.0,544.0,9,green_house,RandomForestRegressor,Ensemble,12,0.8508474576271187,127.3634642533811
56,552.0,552.0,9,green_house,RidgeCV,Ensemble,41,0.9097744360902256,143.95905666278728
57,556.0,556.0,9,green_house,RandomForestRegressor,Ensemble,41,0.9022556390977444,115.833026777189
58,564.0,564.0,9,green_house,RidgeCV,Ensemble,70,0.8902953586497891,144.6085323088763
59,568.0,568.0,9,green_house,RandomForestRegressor,Ensemble,70,0.8945147679324894,106.05981171685872
60,900.0,0.0,0,green_house,NeuralNet,Ensemble,12,0.8440677966101695,115.90780997296405
61,906.0,6.0,0,green_house,NeuralNet,Ensemble,41,0.8759398496240601,125.32142401812179
62,912.0,12.0,0,green_house,NeuralNet,Ensemble,70,0.8438818565400844,133.2167839353125
63,930.0,30.0,1,green_house,NeuralNet,Ensemble,12,0.8542372881355932,122.97187639029524
64,936.0,36.0,1,green_house,NeuralNet,Ensemble,41,0.8646616541353384,119.07371155044508
65,942.0,42.0,1,green_house,NeuralNet,Ensemble,70,0.8354430379746836,154.16538067371746
66,960.0,60.0,2,green_house,NeuralNet,Ensemble,12,0.8644067796610171,110.21533977020931
67,966.0,66.0,2,green_house,NeuralNet,Ensemble,41,0.8684210526315791,119.6114182916455
68,972.0,72.0,2,green_house,NeuralNet,Ensemble,70,0.8481012658227848,134.14617198122411
69,990.0,90.0,3,green_house,NeuralNet,Ensemble,12,0.8440677966101695,128.6138524843955
70,996.0,96.0,3,green_house,NeuralNet,Ensemble,41,0.8684210526315791,120.36476499516053
71,1002.0,102.0,3,green_house,NeuralNet,Ensemble,70,0.8396624472573839,133.94757725318757
72,1020.0,120.0,4,green_house,NeuralNet,Ensemble,12,0.8406779661016949,116.88529545152235
73,1026.0,126.0,4,green_house,NeuralNet,Ensemble,41,0.8984962406015038,117.41673723658457
74,1032.0,132.0,4,green_house,NeuralNet,Ensemble,70,0.8607594936708861,123.80127375808355
75,1050.0,150.0,5,green_house,NeuralNet,Ensemble,12,0.8372881355932204,131.53183419645595
76,1056.0,156.0,5,green_house,NeuralNet,Ensemble,41,0.8684210526315791,121.64619141774912
77,1062.0,162.0,5,green_house,NeuralNet,Ensemble,70,0.8565400843881856,142.5939156235917
78,1080.0,180.0,6,green_house,NeuralNet,Ensemble,12,0.8406779661016949,127.2471195429527
79,1086.0,186.0,6,green_house,NeuralNet,Ensemble,41,0.8834586466165414,120.77846028530548
80,1092.0,192.0,6,green_house,NeuralNet,Ensemble,70,0.8396624472573839,135.01109534206807
81,1110.0,210.0,7,green_house,NeuralNet,Ensemble,12,0.8474576271186439,133.8270648352537
82,1116.0,216.0,7,green_house,NeuralNet,Ensemble,41,0.8646616541353384,123.01132321310278
83,1122.0,222.0,7,green_house,NeuralNet,Ensemble,70,0.8396624472573839,128.35402111448892
84,1140.0,240.0,8,green_house,NeuralNet,Ensemble,12,0.8305084745762712,135.46392034343143
85,1146.0,246.0,8,green_house,NeuralNet,Ensemble,41,0.8759398496240601,124.00933529706707
86,1152.0,252.0,8,green_house,NeuralNet,Ensemble,70,0.8523206751054853,128.73254562740445
87,1170.0,270.0,9,green_house,NeuralNet,Ensemble,12,0.8406779661016949,135.75253701695394
88,1176.0,276.0,9,green_house,NeuralNet,Ensemble,41,0.8759398496240601,122.89855855982474
89,1182.0,282.0,9,green_house,NeuralNet,Ensemble,70,0.8523206751054853,136.423926155245
90,0.0,,0,green_house,RidgeCV,ICP,12,0.9627118644067796,172.71079291169238
91,1.0,,0,green_house,RidgeCV,Weighted_ICP,12,0.7118644067796609,157.1717450814002
92,2.0,,0,green_house,RandomForestRegressor,ICP,12,0.952542372881356,178.013738
93,3.0,,0,green_house,RandomForestRegressor,Weighted_ICP,12,0.9864406779661016,269.79503004000003
94,4.0,,0,green_house,NeuralNet,ICP,12,0.17966101694915254,16.726200103759766
95,5.0,,0,green_house,NeuralNet,Weighted_ICP,12,0.10847457627118644,8.493867874145508
96,6.0,,0,green_house,RidgeCV,ICP,41,0.943609022556391,430.47390457163874
97,7.0,,0,green_house,RidgeCV,Weighted_ICP,41,0.9360902255639098,986.96595325373
98,8.0,,0,green_house,RandomForestRegressor,ICP,41,0.9172932330827068,131.7045674
99,9.0,,0,green_house,RandomForestRegressor,Weighted_ICP,41,0.8872180451127819,258.819744
100,10.0,,0,green_house,NeuralNet,ICP,41,0.29699248120300753,19.72752571105957
101,11.0,,0,green_house,NeuralNet,Weighted_ICP,41,0.31203007518796994,22.487606048583984
102,12.0,,0,green_house,RidgeCV,ICP,70,0.8987341772151899,203.85358944310883
103,13.0,,0,green_house,RidgeCV,Weighted_ICP,70,0.9324894514767932,209.52721323033848
104,14.0,,0,green_house,RandomForestRegressor,ICP,70,0.9282700421940928,134.72787310800004
105,15.0,,0,green_house,RandomForestRegressor,Weighted_ICP,70,0.9367088607594936,165.12043591000003
106,16.0,,0,green_house,NeuralNet,ICP,70,0.4303797468354431,32.13479232788086
107,17.0,,0,green_house,NeuralNet,Weighted_ICP,70,0.5907172995780591,51.2871322631836
108,18.0,,1,green_house,RidgeCV,ICP,12,0.8779661016949153,179.64740901270466
109,19.0,,1,green_house,RidgeCV,Weighted_ICP,12,0.952542372881356,215.41080971506042
110,20.0,,1,green_house,RandomForestRegressor,ICP,12,0.7898305084745763,139.94964200000004
111,21.0,,1,green_house,RandomForestRegressor,Weighted_ICP,12,0.9830508474576272,306.8457024
112,22.0,,1,green_house,NeuralNet,ICP,12,0.13898305084745766,12.875791549682615
113,23.0,,1,green_house,NeuralNet,Weighted_ICP,12,0.2271186440677966,21.076749801635746
114,24.0,,1,green_house,RidgeCV,ICP,41,0.9473684210526316,545.0740202845117
115,25.0,,1,green_house,RidgeCV,Weighted_ICP,41,0.9285714285714286,329.63140508599787
116,26.0,,1,green_house,RandomForestRegressor,ICP,41,0.9135338345864662,147.79422441857142
117,27.0,,1,green_house,RandomForestRegressor,Weighted_ICP,41,0.9924812030075189,308.79231887999987
118,28.0,,1,green_house,NeuralNet,ICP,41,0.34962406015037595,20.683380126953125
119,29.0,,1,green_house,NeuralNet,Weighted_ICP,41,0.33458646616541354,21.0302848815918
120,30.0,,1,green_house,RidgeCV,ICP,70,0.9451476793248944,197.1942801472179
121,31.0,,1,green_house,RidgeCV,Weighted_ICP,70,0.9535864978902954,246.34326600572342
122,32.0,,1,green_house,RandomForestRegressor,ICP,70,0.9746835443037974,238.23896136
123,33.0,,1,green_house,RandomForestRegressor,Weighted_ICP,70,0.9029535864978904,133.22384000000002
124,34.0,,1,green_house,NeuralNet,ICP,70,0.540084388185654,42.14183044433594
125,35.0,,1,green_house,NeuralNet,Weighted_ICP,70,0.5189873417721519,40.0974006652832
126,36.0,,2,green_house,RidgeCV,ICP,12,0.5864406779661017,82.39138859827095
127,37.0,,2,green_house,RidgeCV,Weighted_ICP,12,0.8745762711864407,181.171088891578
128,38.0,,2,green_house,RandomForestRegressor,ICP,12,0.4745762711864407,56.19229366666667
129,39.0,,2,green_house,RandomForestRegressor,Weighted_ICP,12,0.9254237288135592,284.5221339999998
130,40.0,,2,green_house,NeuralNet,ICP,12,0.1288135593220339,12.36480712890625
131,41.0,,2,green_house,NeuralNet,Weighted_ICP,12,0.13898305084745766,12.23470973968506
132,42.0,,2,green_house,RidgeCV,ICP,41,0.9360902255639098,518.9188859820232
133,43.0,,2,green_house,RidgeCV,Weighted_ICP,41,0.9172932330827068,612.1870259791173
134,44.0,,2,green_house,RandomForestRegressor,ICP,41,0.8007518796992481,118.56826129999996
135,45.0,,2,green_house,RandomForestRegressor,Weighted_ICP,41,0.9097744360902256,127.14051947333336
136,46.0,,2,green_house,NeuralNet,ICP,41,0.3646616541353384,26.90263938903809
137,47.0,,2,green_house,NeuralNet,Weighted_ICP,41,0.3721804511278196,27.20622253417969
138,48.0,,2,green_house,RidgeCV,ICP,70,0.8902953586497891,198.96746387567345
139,49.0,,2,green_house,RidgeCV,Weighted_ICP,70,0.9409282700421941,213.90923652793893
140,50.0,,2,green_house,RandomForestRegressor,ICP,70,0.919831223628692,158.5487213165927
141,51.0,,2,green_house,RandomForestRegressor,Weighted_ICP,70,0.9029535864978904,120.23710174406445
142,52.0,,2,green_house,NeuralNet,ICP,70,0.3206751054852321,23.31686973571777
143,53.0,,2,green_house,NeuralNet,Weighted_ICP,70,0.5189873417721519,40.701377868652344
144,54.0,,3,green_house,RidgeCV,ICP,12,0.9627118644067796,182.1334895008281
145,55.0,,3,green_house,RidgeCV,Weighted_ICP,12,0.976271186440678,262.1920337639364
146,56.0,,3,green_house,RandomForestRegressor,ICP,12,0.952542372881356,173.41438413333333
147,57.0,,3,green_house,RandomForestRegressor,Weighted_ICP,12,0.9898305084745764,272.69471102666677
148,58.0,,3,green_house,NeuralNet,ICP,12,0.22033898305084745,17.444219589233402
149,59.0,,3,green_house,NeuralNet,Weighted_ICP,12,0.4203389830508473,35.38015365600586
150,60.0,,3,green_house,RidgeCV,ICP,41,0.9548872180451128,642.8228097103693
151,61.0,,3,green_house,RidgeCV,Weighted_ICP,41,0.9661654135338346,470.0951556646635
152,62.0,,3,green_house,RandomForestRegressor,ICP,41,0.7556390977443609,106.15240946666664
153,63.0,,3,green_house,RandomForestRegressor,Weighted_ICP,41,0.9360902255639098,143.56461860800002
154,64.0,,3,green_house,NeuralNet,ICP,41,0.10526315789473684,7.921042442321777
155,65.0,,3,green_house,NeuralNet,Weighted_ICP,41,0.15413533834586465,10.770074844360352
156,66.0,,3,green_house,RidgeCV,ICP,70,0.9409282700421941,213.71851629414184
157,67.0,,3,green_house,RidgeCV,Weighted_ICP,70,0.9662447257383966,303.86371209005983
158,68.0,,3,green_house,RandomForestRegressor,ICP,70,0.9704641350210972,237.77727999999988
159,69.0,,3,green_house,RandomForestRegressor,Weighted_ICP,70,0.9113924050632912,101.19627999999996
160,70.0,,3,green_house,NeuralNet,ICP,70,0.3206751054852321,23.245805740356445
161,71.0,,3,green_house,NeuralNet,Weighted_ICP,70,0.4683544303797468,35.11669158935547
162,72.0,,4,green_house,RidgeCV,ICP,12,0.8474576271186439,176.11725223735314
163,73.0,,4,green_house,RidgeCV,Weighted_ICP,12,0.9796610169491524,247.6244302841528
164,74.0,,4,green_house,RandomForestRegressor,ICP,12,0.8983050847457628,177.53868999999997
165,75.0,,4,green_house,RandomForestRegressor,Weighted_ICP,12,0.8372881355932204,171.13855752
166,76.0,,4,green_house,NeuralNet,ICP,12,0.4542372881355932,40.42922973632813
167,77.0,,4,green_house,NeuralNet,Weighted_ICP,12,0.5050847457627119,51.9166259765625
168,78.0,,4,green_house,RidgeCV,ICP,41,0.9661654135338346,1117.167239232585
169,79.0,,4,green_house,RidgeCV,Weighted_ICP,41,0.8872180451127819,517.3019299863048
170,80.0,,4,green_house,RandomForestRegressor,ICP,41,0.9060150375939848,147.82551746166664
171,81.0,,4,green_house,RandomForestRegressor,Weighted_ICP,41,0.7368421052631579,101.82708316160006
172,82.0,,4,green_house,NeuralNet,ICP,41,0.3308270676691729,20.06903076171875
173,83.0,,4,green_house,NeuralNet,Weighted_ICP,41,0.31203007518796994,20.109867095947266
174,84.0,,4,green_house,RidgeCV,ICP,70,0.9282700421940928,165.9174394473927
175,85.0,,4,green_house,RidgeCV,Weighted_ICP,70,0.919831223628692,186.15348467506828
176,86.0,,4,green_house,RandomForestRegressor,ICP,70,0.9029535864978904,158.58301880000005
177,87.0,,4,green_house,RandomForestRegressor,Weighted_ICP,70,0.9282700421940928,148.86000394322573
178,88.0,,4,green_house,NeuralNet,ICP,70,0.6877637130801688,59.83557510375977
179,89.0,,4,green_house,NeuralNet,Weighted_ICP,70,0.7257383966244726,78.03913116455078
180,90.0,,5,green_house,RidgeCV,ICP,12,0.6915254237288135,128.73618770582613
181,91.0,,5,green_house,RidgeCV,Weighted_ICP,12,0.9796610169491524,261.1352021253137
182,92.0,,5,green_house,RandomForestRegressor,ICP,12,0.8440677966101695,142.86720493333334
183,93.0,,5,green_house,RandomForestRegressor,Weighted_ICP,12,0.9796610169491524,250.71207800000008
184,94.0,,5,green_house,NeuralNet,ICP,12,0.14915254237288136,15.27875518798828
185,95.0,,5,green_house,NeuralNet,Weighted_ICP,12,0.15932203389830507,16.089164733886722
186,96.0,,5,green_house,RidgeCV,ICP,41,0.8947368421052632,406.5969346867038
187,97.0,,5,green_house,RidgeCV,Weighted_ICP,41,0.9360902255639098,261.03470258876405
188,98.0,,5,green_house,RandomForestRegressor,ICP,41,0.8345864661654135,88.46002581999996
189,99.0,,5,green_house,RandomForestRegressor,Weighted_ICP,41,0.9323308270676692,139.7316401096
190,100.0,,5,green_house,NeuralNet,ICP,41,0.5939849624060151,49.22247314453125
191,101.0,,5,green_house,NeuralNet,Weighted_ICP,41,0.4812030075187971,32.166229248046875
192,102.0,,5,green_house,RidgeCV,ICP,70,0.9324894514767932,174.46149152720955
193,103.0,,5,green_house,RidgeCV,Weighted_ICP,70,0.9578059071729956,190.70487015728898
194,104.0,,5,green_house,RandomForestRegressor,ICP,70,0.9071729957805909,129.13627474211762
195,105.0,,5,green_house,RandomForestRegressor,Weighted_ICP,70,0.8945147679324894,113.43447999999998
196,106.0,,5,green_house,NeuralNet,ICP,70,0.6835443037974683,60.5999641418457
197,107.0,,5,green_house,NeuralNet,Weighted_ICP,70,0.6329113924050633,46.8752555847168
198,108.0,,6,green_house,RidgeCV,ICP,12,0.7186440677966102,128.71264183477587
199,109.0,,6,green_house,RidgeCV,Weighted_ICP,12,0.9288135593220341,210.8062970849649
200,110.0,,6,green_house,RandomForestRegressor,ICP,12,0.6169491525423729,145.69619626666662
201,111.0,,6,green_house,RandomForestRegressor,Weighted_ICP,12,0.9220338983050848,284.5221339999998
202,112.0,,6,green_house,NeuralNet,ICP,12,0.0711864406779661,12.28653049468994
203,113.0,,6,green_house,NeuralNet,Weighted_ICP,12,0.061016949152542375,7.989808082580566
204,114.0,,6,green_house,RidgeCV,ICP,41,0.8195488721804511,434.1968875921375
205,115.0,,6,green_house,RidgeCV,Weighted_ICP,41,0.9022556390977444,539.8042563976803
206,116.0,,6,green_house,RandomForestRegressor,ICP,41,0.8796992481203008,126.27517252000004
207,117.0,,6,green_house,RandomForestRegressor,Weighted_ICP,41,0.8834586466165414,258.819744
208,118.0,,6,green_house,NeuralNet,ICP,41,0.3834586466165413,28.97469711303711
209,119.0,,6,green_house,NeuralNet,Weighted_ICP,41,0.4172932330827068,28.371517181396484
210,120.0,,6,green_house,RidgeCV,ICP,70,0.8860759493670886,138.5266587651756
211,121.0,,6,green_house,RidgeCV,Weighted_ICP,70,0.9704641350210972,185.5013474322956
212,122.0,,6,green_house,RandomForestRegressor,ICP,70,0.9535864978902954,177.06527520000003
213,123.0,,6,green_house,RandomForestRegressor,Weighted_ICP,70,0.9873417721518988,287.58449973142837
214,124.0,,6,green_house,NeuralNet,ICP,70,0.5189873417721519,44.76189422607422
215,125.0,,6,green_house,NeuralNet,Weighted_ICP,70,0.7763713080168776,72.70523834228516
216,126.0,,7,green_house,RidgeCV,ICP,12,0.9593220338983052,158.84477284376248
217,127.0,,7,green_house,RidgeCV,Weighted_ICP,12,0.8406779661016949,163.70247365652426
