index,itrial,dataname,method,alpha,coverage,width,muh_fun
0,0,green_house,ARIMA,0.05,0.7480916030534351,117.64814561311388,
1,0,green_house,ExpSmoothing,0.05,0.900763358778626,149.42047603722008,
2,0,green_house,DynamicFactor,0.05,0.9351145038167938,139.5701398153768,
3,0,green_house,ARIMA,0.1,0.6870229007633588,98.73343619691944,
4,0,green_house,ExpSmoothing,0.1,0.8549618320610687,125.39761643034142,
5,0,green_house,DynamicFactor,0.1,0.9198473282442748,117.13095368092763,
6,0,green_house,ARIMA,0.15000000000000002,0.6335877862595419,86.40883681715763,
7,0,green_house,ExpSmoothing,0.15000000000000002,0.8358778625954199,109.74460722484191,
8,0,green_house,DynamicFactor,0.15000000000000002,0.9045801526717556,102.50984724837416,
9,0,green_house,ARIMA,0.2,0.5763358778625954,76.92598761159739,
10,0,green_house,ExpSmoothing,0.2,0.8015267175572519,97.70079782096329,
11,0,green_house,DynamicFactor,0.2,0.900763358778626,91.26000916065342,
12,0,green_house,ARIMA,0.25,0.5229007633587787,69.0504889252806,
13,0,green_house,ExpSmoothing,0.25,0.7786259541984732,87.69842373672024,
14,0,green_house,DynamicFactor,0.25,0.8664122137404581,81.9170276199183,
0,0,green_house,Ensemble,0.05,0.893129770992367,58.0366719793992,RidgeCV
1,0,green_house,Ensemble,0.05,0.916030534351145,65.0339396532652,RandomForestRegressor
2,0,green_house,Ensemble,0.05,0.900763358778626,56.485053697253896,Sequential
3,0,green_house,Ensemble,0.05,0.927480916030534,108.37557231407,RNN
4,0,green_house,Ensemble,0.1,0.847328244274809,49.231985240755996,RidgeCV
5,0,green_house,Ensemble,0.1,0.870229007633588,53.604640033062296,RandomForestRegressor
6,0,green_house,Ensemble,0.1,0.843511450381679,48.529275490454594,Sequential
7,0,green_house,Ensemble,0.1,0.881679389312977,76.8542265233516,RNN
8,0,green_house,Ensemble,0.15,0.801526717557252,41.583453796878295,RidgeCV
9,0,green_house,Ensemble,0.15,0.816793893129771,47.6721197359916,RandomForestRegressor
10,0,green_house,Ensemble,0.15,0.816793893129771,40.855185936575,Sequential
11,0,green_house,Ensemble,0.15,0.843511450381679,59.9098927409542,RNN
12,0,green_house,Ensemble,0.2,0.725190839694657,36.1890332718886,RidgeCV
13,0,green_house,Ensemble,0.2,0.751908396946565,42.708072937558605,RandomForestRegressor
14,0,green_house,Ensemble,0.2,0.759541984732824,35.7104200394533,Sequential
15,0,green_house,Ensemble,0.2,0.774809160305344,48.9428458024068,RNN
16,0,green_house,Ensemble,0.25,0.702290076335878,31.0286953270618,RidgeCV
17,0,green_house,Ensemble,0.25,0.706106870229008,37.771980615138,RandomForestRegressor
18,0,green_house,Ensemble,0.25,0.698473282442748,30.714540647129603,Sequential
19,0,green_house,Ensemble,0.25,0.713740458015267,41.946404963571,RNN
20,1,green_house,Ensemble,0.05,0.900763358778626,58.975545378035704,RidgeCV
21,1,green_house,Ensemble,0.05,0.923664122137405,68.4203552091539,RandomForestRegressor
22,1,green_house,Ensemble,0.05,0.912213740458015,58.670689119547994,Sequential
23,1,green_house,Ensemble,0.05,0.927480916030534,108.402379245945,RNN
24,1,green_house,Ensemble,0.1,0.854961832061069,49.1142274836584,RidgeCV
25,1,green_house,Ensemble,0.1,0.862595419847328,54.7167559633774,RandomForestRegressor
26,1,green_house,Ensemble,0.1,0.847328244274809,48.096862889101494,Sequential
27,1,green_house,Ensemble,0.1,0.881679389312977,76.8235177150678,RNN
28,1,green_house,Ensemble,0.15,0.778625954198473,41.838205105842704,RidgeCV
29,1,green_house,Ensemble,0.15,0.82824427480916,47.643123761337996,RandomForestRegressor
30,1,green_house,Ensemble,0.15,0.801526717557252,41.0375694026488,Sequential
31,1,green_house,Ensemble,0.15,0.843511450381679,59.90600138850821,RNN
32,1,green_house,Ensemble,0.2,0.740458015267176,36.3711057953375,RidgeCV
33,1,green_house,Ensemble,0.2,0.770992366412214,43.4198475481528,RandomForestRegressor
34,1,green_house,Ensemble,0.2,0.759541984732824,35.394930545927295,Sequential
35,1,green_house,Ensemble,0.2,0.778625954198473,48.9215922612323,RNN
36,1,green_house,Ensemble,0.25,0.683206106870229,31.600627808264605,RidgeCV
37,1,green_house,Ensemble,0.25,0.713740458015267,37.996856332353694,RandomForestRegressor
38,1,green_house,Ensemble,0.25,0.713740458015267,30.448331640236802,Sequential
39,1,green_house,Ensemble,0.25,0.713740458015267,41.9272688456035,RNN
40,2,green_house,Ensemble,0.05,0.900763358778626,60.0366268579268,RidgeCV
41,2,green_house,Ensemble,0.05,0.927480916030534,70.8287463781805,RandomForestRegressor
42,2,green_house,Ensemble,0.05,0.916030534351145,60.2250741882582,Sequential
43,2,green_house,Ensemble,0.05,0.927480916030534,108.36032597962401,RNN
44,2,green_house,Ensemble,0.1,0.854961832061069,50.2460808273629,RidgeCV
45,2,green_house,Ensemble,0.1,0.877862595419847,55.956009444868705,RandomForestRegressor
46,2,green_house,Ensemble,0.1,0.854961832061069,50.1948527215333,Sequential
47,2,green_house,Ensemble,0.1,0.881679389312977,76.7906403566155,RNN
48,2,green_house,Ensemble,0.15,0.801526717557252,41.9041539509293,RidgeCV
49,2,green_house,Ensemble,0.15,0.816793893129771,48.368649289649895,RandomForestRegressor
50,2,green_house,Ensemble,0.15,0.812977099236641,41.4332907227706,Sequential
51,2,green_house,Ensemble,0.15,0.843511450381679,59.9118289488196,RNN
52,2,green_house,Ensemble,0.2,0.751908396946565,35.4581454065319,RidgeCV
53,2,green_house,Ensemble,0.2,0.782442748091603,43.48770244734071,RandomForestRegressor
