index,itrial,dataname,method,alpha,coverage,width,muh_fun
62,3,Beijing_air,Ensemble,0.05,0.949625,125.51471998121922,Sequential
63,3,Beijing_air,Ensemble,0.05,0.94675,239.65280957232508,RNN
64,3,Beijing_air,Ensemble,0.1,0.89325,102.06938419622549,RidgeCV
65,3,Beijing_air,Ensemble,0.1,0.900875,128.39125790456222,RandomForestRegressor
66,3,Beijing_air,Ensemble,0.1,0.895125,90.80121757250002,Sequential
67,3,Beijing_air,Ensemble,0.1,0.90025,193.1143072974589,RNN
68,3,Beijing_air,Ensemble,0.15000000000000002,0.84475,83.75352970243408,RidgeCV
69,3,Beijing_air,Ensemble,0.15000000000000002,0.845,106.76759335023546,RandomForestRegressor
70,3,Beijing_air,Ensemble,0.15000000000000002,0.845625,75.78180757682355,Sequential
71,3,Beijing_air,Ensemble,0.15000000000000002,0.850875,164.21598558557997,RNN
72,3,Beijing_air,Ensemble,0.2,0.797125,71.19595723584936,RidgeCV
73,3,Beijing_air,Ensemble,0.2,0.801125,92.70256122457492,RandomForestRegressor
74,3,Beijing_air,Ensemble,0.2,0.80925,66.32945431313587,Sequential
75,3,Beijing_air,Ensemble,0.2,0.80375,141.7189851113781,RNN
76,3,Beijing_air,Ensemble,0.25,0.7485,61.67377399964956,RidgeCV
77,3,Beijing_air,Ensemble,0.25,0.746625,80.05893015490813,RandomForestRegressor
78,3,Beijing_air,Ensemble,0.25,0.74925,54.505981701673,Sequential
79,3,Beijing_air,Ensemble,0.25,0.7555,123.73786806021532,RNN
80,4,Beijing_air,Ensemble,0.05,0.9470000000000001,138.47735403471808,RidgeCV
81,4,Beijing_air,Ensemble,0.05,0.94875,172.65244076792266,RandomForestRegressor
82,4,Beijing_air,Ensemble,0.05,0.946,121.76726501489073,Sequential
83,4,Beijing_air,Ensemble,0.05,0.94675,239.68662082011417,RNN
84,4,Beijing_air,Ensemble,0.1,0.89275,102.8736104999642,RidgeCV
85,4,Beijing_air,Ensemble,0.1,0.9015,127.99172422584326,RandomForestRegressor
86,4,Beijing_air,Ensemble,0.1,0.895375,91.71686657338832,Sequential
87,4,Beijing_air,Ensemble,0.1,0.9,193.0873489050711,RNN
