level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
53,53.0,3,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8344748858447488,170.83067707008084
54,54.0,3,Solar_Atl,RidgeCV,Ensemble,0.2,0.7970890410958904,102.21735959207923
55,55.0,3,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7993721461187214,124.36507083420696
56,56.0,3,Solar_Atl,Sequential,Ensemble,0.2,0.7821061643835616,131.9210678505967
57,57.0,3,Solar_Atl,RidgeCV,Ensemble,0.25,0.7440068493150684,80.9432476970215
58,58.0,3,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7507134703196348,94.75871178967958
59,59.0,3,Solar_Atl,Sequential,Ensemble,0.25,0.7341609589041096,102.17350477253343
60,60.0,4,Solar_Atl,RidgeCV,Ensemble,0.05,0.9486301369863014,300.1795090863227
61,61.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.951769406392694,378.39398186183615
62,62.0,4,Solar_Atl,Sequential,Ensemble,0.05,0.9382134703196348,363.2111987499469
63,63.0,4,Solar_Atl,RidgeCV,Ensemble,0.1,0.8986872146118722,199.0406499674897
64,64.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9023972602739726,258.941485961388
65,65.0,4,Solar_Atl,Sequential,Ensemble,0.1,0.8979737442922374,528.7033961187217
66,66.0,4,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8464611872146118,140.99011401208787
67,67.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8530251141552512,169.75960903570845
68,68.0,4,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8323344748858448,175.9724417214238
69,69.0,4,Solar_Atl,RidgeCV,Ensemble,0.2,0.7969463470319634,104.11119417863756
70,70.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.8006563926940641,124.1750730963081
71,71.0,4,Solar_Atl,Sequential,Ensemble,0.2,0.7769691780821918,128.22333096410364
72,72.0,4,Solar_Atl,RidgeCV,Ensemble,0.25,0.7434360730593608,81.8007485665463
73,73.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7512842465753424,94.01298961190572
74,74.0,4,Solar_Atl,Sequential,Ensemble,0.25,0.7337328767123288,106.5208516531926
75,75.0,5,Solar_Atl,RidgeCV,Ensemble,0.05,0.949343607305936,300.72597589850346
76,76.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9506278538812786,364.84713004415113
77,77.0,5,Solar_Atl,Sequential,Ensemble,0.05,0.9392123287671232,359.6382099026146
78,78.0,5,Solar_Atl,RidgeCV,Ensemble,0.1,0.8986872146118722,197.4606198523872
79,79.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9026826484018264,252.00360786662563
80,80.0,5,Solar_Atl,Sequential,Ensemble,0.1,0.8837043378995434,232.23836528572724
81,81.0,5,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8460331050228309,138.97268968216315
82,82.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8530251141552512,169.073485959893
83,83.0,5,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8317636986301371,174.9320953212701
84,84.0,5,Solar_Atl,RidgeCV,Ensemble,0.2,0.7972317351598174,102.35584768027456
85,85.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7990867579908676,125.95079510117996
86,86.0,5,Solar_Atl,Sequential,Ensemble,0.2,0.7855308219178082,128.5781190439111
87,87.0,5,Solar_Atl,RidgeCV,Ensemble,0.25,0.7441495433789954,80.7399477242838
88,88.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7519977168949772,96.45827275216273
89,89.0,5,Solar_Atl,Sequential,Ensemble,0.25,0.735445205479452,100.96831571927959
