index,itrial,dataname,muh_fun,method,alpha,coverage,width
0,0,Fremont,RidgeCV,Ensemble,0.05,0.9436358447488584,316.60015370012286
1,0,Fremont,RidgeCV,ICP,0.05,0.6569634703196348,134.8813672998529
2,0,Fremont,RidgeCV,Weighted_ICP,0.05,0.7004851598173516,144.46479720983382
3,0,Fremont,RandomForestRegressor,Ensemble,0.05,0.9529109589041096,219.96361356435315
4,0,Fremont,RandomForestRegressor,ICP,0.05,0.9238013698630136,159.89928057554926
5,0,Fremont,RandomForestRegressor,Weighted_ICP,0.05,0.9188070776255708,165.69268292680187
6,0,Fremont,Sequential,Ensemble,0.05,0.9387842465753424,192.14143275564288
7,0,Fremont,Sequential,ICP,0.05,0.8477454337899544,75.87342834472656
8,0,Fremont,Sequential,Weighted_ICP,0.05,0.867722602739726,81.97150421142578
9,0,Fremont,RNN,Ensemble,0.05,0.9316495433789954,195.08560783290864
10,0,Fremont,RNN,ICP,0.05,0.6277111872146118,28.061508178710934
11,0,Fremont,RNN,Weighted_ICP,0.05,0.6212899543378996,27.817737579345703
12,0,Fremont,RidgeCV,Ensemble,0.1,0.8848458904109592,253.69367534044295
13,0,Fremont,RidgeCV,ICP,0.1,0.5348173515981736,101.24981479688455
14,0,Fremont,RidgeCV,Weighted_ICP,0.1,0.5729166666666666,105.03442710140814
15,0,Fremont,RandomForestRegressor,Ensemble,0.1,0.8995433789954338,134.88213958719552
16,0,Fremont,RandomForestRegressor,ICP,0.1,0.8575913242009132,99.10071942446328
17,0,Fremont,RandomForestRegressor,Weighted_ICP,0.1,0.8687214611872146,114.21585365853352
18,0,Fremont,Sequential,Ensemble,0.1,0.8911244292237442,125.06160457550487
19,0,Fremont,Sequential,ICP,0.1,0.7549942922374431,44.78144073486328
20,0,Fremont,Sequential,Weighted_ICP,0.1,0.788527397260274,53.0089225769043
21,0,Fremont,RNN,Ensemble,0.1,0.8804223744292238,162.28174262063018
22,0,Fremont,RNN,ICP,0.1,0.5981735159817352,19.89934539794922
23,0,Fremont,RNN,Weighted_ICP,0.1,0.5783390410958904,18.11557960510254
24,0,Fremont,RidgeCV,Ensemble,0.15000000000000002,0.8277682648401826,215.89004418804421
25,0,Fremont,RidgeCV,ICP,0.15000000000000002,0.4917237442922374,90.07183345912651
26,0,Fremont,RidgeCV,Weighted_ICP,0.15000000000000002,0.4994292237442922,87.4958507394302
27,0,Fremont,RandomForestRegressor,Ensemble,0.15000000000000002,0.8450342465753424,90.98186626226686
28,0,Fremont,RandomForestRegressor,ICP,0.15000000000000002,0.7852454337899544,61.9140625
29,0,Fremont,RandomForestRegressor,Weighted_ICP,0.15000000000000002,0.7989440639269406,67.60121951218808
30,0,Fremont,Sequential,Ensemble,0.15000000000000002,0.8457477168949772,101.30217866774908
31,0,Fremont,Sequential,ICP,0.15000000000000002,0.7535673515981736,42.70571517944336
32,0,Fremont,Sequential,Weighted_ICP,0.15000000000000002,0.7220319634703196,35.437705993652344
33,0,Fremont,RNN,Ensemble,0.15000000000000002,0.8427511415525114,126.6384220513057
34,0,Fremont,RNN,ICP,0.15000000000000002,0.5615011415525114,15.140511512756348
35,0,Fremont,RNN,Weighted_ICP,0.15000000000000002,0.5583618721461188,13.473997116088867
36,0,Fremont,RidgeCV,Ensemble,0.2,0.7799657534246576,187.9524919234108
37,0,Fremont,RidgeCV,ICP,0.2,0.44463470319634707,79.18307003972502
38,0,Fremont,RidgeCV,Weighted_ICP,0.2,0.4574771689497717,77.83147971740925
39,0,Fremont,RandomForestRegressor,Ensemble,0.2,0.7965182648401826,65.01694888910981
40,0,Fremont,RandomForestRegressor,ICP,0.2,0.7134703196347032,40.201438848919096
41,0,Fremont,RandomForestRegressor,Weighted_ICP,0.2,0.7214611872146118,42.4756097560989
42,0,Fremont,Sequential,Ensemble,0.2,0.7990867579908676,63.30345517552597
43,0,Fremont,Sequential,ICP,0.2,0.6887842465753424,25.91022109985352
44,0,Fremont,Sequential,Weighted_ICP,0.2,0.7361586757990868,34.206344604492195
45,0,Fremont,RNN,Ensemble,0.2,0.7932363013698629,94.51331535053363
46,0,Fremont,RNN,ICP,0.2,0.5537956621004566,15.539069175720215
47,0,Fremont,RNN,Weighted_ICP,0.2,0.5306792237442922,9.893404960632324
48,0,Fremont,RidgeCV,Ensemble,0.25,0.7295947488584474,165.1787226273883
49,0,Fremont,RidgeCV,ICP,0.25,0.4099600456621005,70.65417736525713
50,0,Fremont,RidgeCV,Weighted_ICP,0.25,0.4145262557077626,67.72383207147098
51,0,Fremont,RandomForestRegressor,Ensemble,0.25,0.7537100456621004,48.254468933007495
52,0,Fremont,RandomForestRegressor,ICP,0.25,0.646689497716895,26.832800549715017
53,0,Fremont,RandomForestRegressor,Weighted_ICP,0.25,0.6628139269406392,30.3841463414651
54,0,Fremont,Sequential,Ensemble,0.25,0.7532819634703196,56.204859354629534
55,0,Fremont,Sequential,ICP,0.25,0.6886415525114156,25.83810997009277
56,0,Fremont,Sequential,Weighted_ICP,0.25,0.6485445205479452,19.711429595947266
57,0,Fremont,RNN,Ensemble,0.25,0.7395833333333334,65.10987084850889
58,0,Fremont,RNN,ICP,0.25,0.5426655251141552,10.964110374450684
59,0,Fremont,RNN,Weighted_ICP,0.25,0.5308219178082192,9.589731216430664
60,1,Fremont,RidgeCV,Ensemble,0.05,0.9412100456621004,327.832560675602
61,1,Fremont,RidgeCV,ICP,0.05,0.6875,138.22357547760424
62,1,Fremont,RidgeCV,Weighted_ICP,0.05,0.7515696347031964,156.88869519997255
