itrial,dataname,method,alpha,coverage,width
0,Solar_Atl,ARIMA,0.05,0.8587328767123288,144.3700043343671
0,Solar_Atl,ExpSmoothing,0.05,0.9286529680365296,244.07079247509242
0,Solar_Atl,DynamicFactor,0.05,0.9260844748858448,254.81249007056627
0,Solar_Atl,ARIMA,0.1,0.8212043378995434,121.15912696636114
0,Solar_Atl,ExpSmoothing,0.1,0.9163812785388128,204.83066597256223
0,Solar_Atl,DynamicFactor,0.1,0.9031107305936074,213.84538276781862
0,Solar_Atl,ARIMA,0.15000000000000002,0.7959474885844748,106.03519571693215
0,Solar_Atl,ExpSmoothing,0.15000000000000002,0.9053938356164384,179.26226689682537
0,Solar_Atl,DynamicFactor,0.15000000000000002,0.8861301369863014,187.15170357115144
0,Solar_Atl,ARIMA,0.2,0.7676940639269406,94.39847187590394
0,Solar_Atl,ExpSmoothing,0.2,0.8956906392694064,159.58931320545076
0,Solar_Atl,DynamicFactor,0.2,0.8714326484018264,166.61293174062337
0,Solar_Atl,ARIMA,0.25,0.7410102739726028,84.73418202625489
0,Solar_Atl,ExpSmoothing,0.25,0.8814212328767124,143.2509408878202
0,Solar_Atl,DynamicFactor,0.25,0.858019406392694,149.55549815040655
