index,itrial,dataname,method,alpha,coverage,width,muh_fun
68,3,appliances,Ensemble,0.15000000000000002,0.81575,251.7963350574119,RidgeCV
69,3,appliances,Ensemble,0.15000000000000002,0.816875,261.87754979946806,RandomForestRegressor
70,3,appliances,Ensemble,0.15000000000000002,0.840875,186.81490737335545,Sequential
71,3,appliances,Ensemble,0.15000000000000002,0.846125,117.83040160857989,RNN
72,3,appliances,Ensemble,0.2,0.75475,215.36740284892508,RidgeCV
73,3,appliances,Ensemble,0.2,0.7735,207.0045040131208,RandomForestRegressor
74,3,appliances,Ensemble,0.2,0.7965,139.94677143973476,Sequential
75,3,appliances,Ensemble,0.2,0.788375,94.25768639214708,RNN
76,3,appliances,Ensemble,0.25,0.689625,186.04404622937318,RidgeCV
77,3,appliances,Ensemble,0.25,0.723875,167.33493139844646,RandomForestRegressor
78,3,appliances,Ensemble,0.25,0.73375,106.84790332662735,Sequential
79,3,appliances,Ensemble,0.25,0.73025,77.71764712773287,RNN
80,4,appliances,Ensemble,0.05,0.9415,451.2219876584282,RidgeCV
81,4,appliances,Ensemble,0.05,0.940625,532.8747330648326,RandomForestRegressor
82,4,appliances,Ensemble,0.05,0.947625,395.5107805997097,Sequential
83,4,appliances,Ensemble,0.05,0.951875,322.1587851674268,RNN
84,4,appliances,Ensemble,0.1,0.8845,313.29545046671984,RidgeCV
85,4,appliances,Ensemble,0.1,0.881625,374.4445234546456,RandomForestRegressor
86,4,appliances,Ensemble,0.1,0.8959999999999999,269.85745070295775,Sequential
87,4,appliances,Ensemble,0.1,0.898,201.3397377826363,RNN
88,4,appliances,Ensemble,0.15000000000000002,0.814375,248.95232631532468,RidgeCV
89,4,appliances,Ensemble,0.15000000000000002,0.814375,276.3810215930706,RandomForestRegressor
90,4,appliances,Ensemble,0.15000000000000002,0.84075,187.70482862733098,Sequential
91,4,appliances,Ensemble,0.15000000000000002,0.845875,118.0023287413731,RNN
92,4,appliances,Ensemble,0.2,0.755875,212.8004088077604,RidgeCV
93,4,appliances,Ensemble,0.2,0.7759999999999999,216.04969929212155,RandomForestRegressor
94,4,appliances,Ensemble,0.2,0.798625,141.76588678628832,Sequential
95,4,appliances,Ensemble,0.2,0.790875,94.58408799046836,RNN
96,4,appliances,Ensemble,0.25,0.69075,183.0864396875976,RidgeCV
97,4,appliances,Ensemble,0.25,0.7240000000000001,173.8776501423617,RandomForestRegressor
98,4,appliances,Ensemble,0.25,0.7345,113.39867376351314,Sequential
99,4,appliances,Ensemble,0.25,0.7315,77.94756626790475,RNN
100,5,appliances,Ensemble,0.05,0.94,448.8379176892735,RidgeCV
101,5,appliances,Ensemble,0.05,0.942375,530.6727389078105,RandomForestRegressor
102,5,appliances,Ensemble,0.05,0.94825,402.91397386128784,Sequential
103,5,appliances,Ensemble,0.05,0.952625,322.22107014730614,RNN
104,5,appliances,Ensemble,0.1,0.88525,310.3473079430421,RidgeCV
105,5,appliances,Ensemble,0.1,0.877,367.7369563525177,RandomForestRegressor
106,5,appliances,Ensemble,0.1,0.895375,275.1361370166946,Sequential
107,5,appliances,Ensemble,0.1,0.897875,201.50718559276444,RNN
108,5,appliances,Ensemble,0.15000000000000002,0.816375,245.72418320067115,RidgeCV
109,5,appliances,Ensemble,0.15000000000000002,0.816625,266.66180068218557,RandomForestRegressor
110,5,appliances,Ensemble,0.15000000000000002,0.841,185.65755607675166,Sequential
111,5,appliances,Ensemble,0.15000000000000002,0.844875,117.82638203075771,RNN
