train_frac,method,precision,recall,F1
0.3,Ridge,0.008459483526268923,0.3392857142857143,0.016507384882710686
0.3,RF,0.0792520035618878,0.6544117647058824,0.1413820492454329
0.3,NN,0.6589492430988424,0.961038961038961,0.7818277865821448
0.3,RNN,0.7804986642920748,0.9960227272727272,0.8751872191712431
0.3,HBOS,0.12600178094390027,0.8601823708206687,0.21980582524271847
0.3,IForest,0.005342831700801425,0.6666666666666666,0.01060070671378092
0.3,OCSVM,1.0,0.3655598958333333,0.5353992848629321
0.3,PCA,0.03428317008014248,0.8953488372093024,0.0660377358490566
0.3,SVC,0.0,0.0,0.0
0.3,GBoosting,0.018699910952804988,0.024778761061946902,0.021314387211367674
0.3,KNN,0.1429207479964381,0.1292270531400966,0.13572938689217762
0.3,MLPClassifier,1.0,0.3655598958333333,0.5353992848629321
0.4,Ridge,0.01026694045174538,0.3508771929824561,0.0199501246882793
0.4,RF,0.09188911704312115,0.6485507246376812,0.16097122302158273
0.4,NN,0.3295687885010267,0.9984447900466563,0.49556155924353534
0.4,RNN,0.7756673511293635,0.9953886693017128,0.8718984420080785
0.4,HBOS,0.162217659137577,0.8449197860962567,0.2721791559000861
0.4,IForest,0.023100616016427104,0.8181818181818182,0.04493260109835247
0.4,OCSVM,1.0,0.36893939393939396,0.5390149418926398
0.4,PCA,0.04004106776180698,0.8666666666666667,0.07654563297350343
0.4,SVC,0.0,0.0,0.0
0.4,GBoosting,0.1257700205338809,0.11830033800096572,0.12192087583976115
0.4,KNN,0.1391170431211499,0.1272300469483568,0.13290828837665522
0.4,MLPClassifier,1.0,0.36893939393939396,0.5390149418926398
0.5,Ridge,0.009864364981504316,0.37209302325581395,0.01921921921921922
0.5,RF,0.09494451294697903,0.6609442060085837,0.1660377358490566
0.5,NN,0.7731196054254007,0.9944488501189532,0.8699271592091571
0.5,RNN,0.7669543773119606,0.9944044764188649,0.8659937347720152
0.5,HBOS,0.11652281134401973,0.7745901639344263,0.20257234726688103
0.5,IForest,0.013563501849568433,0.8461538461538461,0.02669902912621359
0.5,OCSVM,1.0,0.36730072463768115,0.5372639947002319
0.5,PCA,0.0499383477188656,0.8350515463917526,0.09424083769633507
0.5,SVC,0.0,0.0,0.0
0.5,GBoosting,0.12083847102342787,0.11475409836065574,0.11771771771771772
0.5,KNN,0.1319358816276202,0.12707838479809977,0.1294615849969752
0.5,MLPClassifier,1.0,0.36730072463768115,0.5372639947002319
0.6,Ridge,0.013302034428794992,0.3953488372093023,0.025738077214231637
0.6,RF,0.09233176838810642,0.59,0.15967523680649526
0.6,NN,0.09702660406885759,0.5933014354066986,0.16677874915938132
0.6,RNN,0.7456964006259781,0.9927083333333333,0.8516532618409294
0.6,HBOS,0.1643192488262911,0.8333333333333334,0.2745098039215686
0.6,IForest,0.035211267605633804,0.7894736842105263,0.06741573033707865
0.6,OCSVM,1.0,0.3622448979591837,0.5318352059925093
0.6,PCA,0.06964006259780908,0.8018018018018018,0.12814974802015838
0.6,SVC,0.0,0.0,0.0
0.6,GBoosting,0.10641627543035993,0.10134128166915052,0.10381679389312978
0.6,KNN,0.13615023474178403,0.13132075471698113,0.1336918939684979
0.6,MLPClassifier,1.0,0.3622448979591837,0.5318352059925093
0.7,Ridge,0.014462809917355372,0.6363636363636364,0.02828282828282828
0.7,RF,0.09090909090909091,0.624113475177305,0.15870153291253383
0.7,NN,0.10020661157024793,0.6339869281045751,0.17305976806422838
0.7,RNN,0.7417355371900827,0.9930843706777317,0.8492016558249557
0.7,HBOS,0.06818181818181818,0.7951807228915663,0.12559467174119884
0.7,IForest,0.022727272727272728,0.8461538461538461,0.044265593561368215
0.7,OCSVM,1.0,0.36666666666666664,0.5365853658536585
0.7,PCA,0.07747933884297521,0.8064516129032258,0.1413760603204524
0.7,SVC,0.0,0.0,0.0
0.7,GBoosting,0.12706611570247933,0.12082514734774066,0.12386706948640483
0.7,KNN,0.1518595041322314,0.14093959731543623,0.14619592242665339
0.7,MLPClassifier,1.0,0.36666666666666664,0.5365853658536585
