level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
53,53.0,3,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8380422374429224,156.95827572217
54,54.0,3,Solar_Atl,RidgeCV,Ensemble,0.2,0.7933789954337901,181.6625413734821
55,55.0,3,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7943778538812786,152.5192902114514
56,56.0,3,Solar_Atl,Sequential,Ensemble,0.2,0.7821061643835616,133.9556878633304
57,57.0,3,Solar_Atl,RidgeCV,Ensemble,0.25,0.742722602739726,159.5640011736619
58,58.0,3,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7538527397260274,134.00953260292016
59,59.0,3,Solar_Atl,Sequential,Ensemble,0.25,0.7350171232876712,111.51597836579785
60,60.0,4,Solar_Atl,RidgeCV,Ensemble,0.05,0.9543378995433792,400.937028900312
61,61.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.954480593607306,404.2485325501913
62,62.0,4,Solar_Atl,Sequential,Ensemble,0.05,0.9360730593607306,254.28954235634305
63,63.0,4,Solar_Atl,RidgeCV,Ensemble,0.1,0.9039668949771692,292.6198251988613
64,64.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9021118721461188,284.32774841239814
65,65.0,4,Solar_Atl,Sequential,Ensemble,0.1,0.8981164383561644,528.4267694063929
66,66.0,4,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8498858447488584,215.93136960336827
67,67.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8528824200913242,204.19830590947294
68,68.0,4,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8393264840182648,151.98867525238668
69,69.0,4,Solar_Atl,RidgeCV,Ensemble,0.2,0.7950913242009132,178.00948256314427
70,70.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7940924657534246,151.22064223038518
71,71.0,4,Solar_Atl,Sequential,Ensemble,0.2,0.7846746575342466,125.4106056206825
72,72.0,4,Solar_Atl,RidgeCV,Ensemble,0.25,0.7415810502283106,155.73240302099506
73,73.0,4,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7525684931506851,131.6034353481716
74,74.0,4,Solar_Atl,Sequential,Ensemble,0.25,0.7360159817351598,104.25892391481202
75,75.0,5,Solar_Atl,RidgeCV,Ensemble,0.05,0.9543378995433792,399.499199114809
76,76.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9536244292237442,402.91531661282784
77,77.0,5,Solar_Atl,Sequential,Ensemble,0.05,0.9369292237442922,260.017663117757
78,78.0,5,Solar_Atl,RidgeCV,Ensemble,0.1,0.9036815068493148,292.19261186256364
79,79.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9018264840182648,283.5982441142208
80,80.0,5,Solar_Atl,Sequential,Ensemble,0.1,0.8981164383561644,528.4267694063929
81,81.0,5,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8500285388127854,217.17276840326485
82,82.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8545947488584474,203.5827952688881
83,83.0,5,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8420376712328768,150.57973551450436
84,84.0,5,Solar_Atl,RidgeCV,Ensemble,0.2,0.7946632420091324,179.63288331561822
85,85.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7960901826484018,149.436810011006
86,86.0,5,Solar_Atl,Sequential,Ensemble,0.2,0.7873858447488584,128.83952198365586
87,87.0,5,Solar_Atl,RidgeCV,Ensemble,0.25,0.7431506849315068,157.50444545147752
88,88.0,5,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7549942922374431,126.98290160474885
89,89.0,5,Solar_Atl,Sequential,Ensemble,0.25,0.7348744292237442,114.46063530974487
90,90.0,6,Solar_Atl,RidgeCV,Ensemble,0.05,0.9543378995433792,398.6947774739185
91,91.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.954480593607306,401.9167595813829
92,92.0,6,Solar_Atl,Sequential,Ensemble,0.05,0.9379280821917808,264.2311715803442
93,93.0,6,Solar_Atl,RidgeCV,Ensemble,0.1,0.9042522831050228,292.0255192480593
94,94.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9019691780821918,282.8405566384065
95,95.0,6,Solar_Atl,Sequential,Ensemble,0.1,0.8827054794520548,200.83827805409413
96,96.0,6,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8503139269406392,217.28551148460537
97,97.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8550228310502284,202.35948924511368
98,98.0,6,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8421803652968036,150.48916687841958
99,99.0,6,Solar_Atl,RidgeCV,Ensemble,0.2,0.7943778538812786,179.3279719093145
100,100.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7962328767123288,148.19345903433427
101,101.0,6,Solar_Atl,Sequential,Ensemble,0.2,0.7875285388127854,124.26826407151268
102,102.0,6,Solar_Atl,RidgeCV,Ensemble,0.25,0.7430079908675801,157.01950453761333
103,103.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7528538812785388,123.59738298353956
104,104.0,6,Solar_Atl,Sequential,Ensemble,0.25,0.7317351598173516,109.41379575559372
105,105.0,7,Solar_Atl,RidgeCV,Ensemble,0.05,0.954480593607306,398.31330435797685
106,106.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9536244292237442,401.4718309858242
107,107.0,7,Solar_Atl,Sequential,Ensemble,0.05,0.9410673515981736,272.6682497373141
108,108.0,7,Solar_Atl,RidgeCV,Ensemble,0.1,0.903824200913242,291.7443688300886
109,109.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9018264840182648,282.9372160690226
110,110.0,7,Solar_Atl,Sequential,Ensemble,0.1,0.9078196347031964,275.80664303013907
111,111.0,7,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8500285388127854,216.98209261218213
112,112.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8547374429223744,203.2204574233266
113,113.0,7,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8408961187214612,150.91642501921518
114,114.0,7,Solar_Atl,RidgeCV,Ensemble,0.2,0.7940924657534246,179.10178994628689
115,115.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7959474885844748,148.38780672964927
116,116.0,7,Solar_Atl,Sequential,Ensemble,0.2,0.7798230593607306,129.28597574200214
117,117.0,7,Solar_Atl,RidgeCV,Ensemble,0.25,0.7424372146118722,156.89986693850784
118,118.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7495719178082192,124.04879613597565
119,119.0,7,Solar_Atl,Sequential,Ensemble,0.25,0.7290239726027398,109.57084914553238
120,120.0,8,Solar_Atl,RidgeCV,Ensemble,0.05,0.9543378995433792,397.88841524784243
121,121.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9534817351598174,404.9327707723623
122,122.0,8,Solar_Atl,Sequential,Ensemble,0.05,0.9379280821917808,262.9259581660082
123,123.0,8,Solar_Atl,RidgeCV,Ensemble,0.1,0.9046803652968036,291.6668704461576
124,124.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9016837899543378,284.3060368260995
125,125.0,8,Solar_Atl,Sequential,Ensemble,0.1,0.8912671232876712,196.34500775650972
126,126.0,8,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8503139269406392,217.681469368288
