level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
59,59.0,3,Beijing_air,Sequential,Ensemble,0.25,0.747125,57.14382683145831
60,60.0,4,Beijing_air,RidgeCV,Ensemble,0.05,0.95,79.83386473610567
61,61.0,4,Beijing_air,RandomForestRegressor,Ensemble,0.05,0.94875,101.55880055170343
62,62.0,4,Beijing_air,Sequential,Ensemble,0.05,0.943,118.1169468340434
63,63.0,4,Beijing_air,RidgeCV,Ensemble,0.1,0.90175,56.03687850537376
64,64.0,4,Beijing_air,RandomForestRegressor,Ensemble,0.1,0.90175,73.30966294459981
65,65.0,4,Beijing_air,Sequential,Ensemble,0.1,0.8945,89.93791352982973
66,66.0,4,Beijing_air,RidgeCV,Ensemble,0.15000000000000002,0.854375,44.21521735527049
67,67.0,4,Beijing_air,RandomForestRegressor,Ensemble,0.15000000000000002,0.853,59.809458766874855
68,68.0,4,Beijing_air,Sequential,Ensemble,0.15000000000000002,0.846125,75.94709016942699
69,69.0,4,Beijing_air,RidgeCV,Ensemble,0.2,0.803375,36.54978845740095
70,70.0,4,Beijing_air,RandomForestRegressor,Ensemble,0.2,0.8045,53.847093323040994
71,71.0,4,Beijing_air,Sequential,Ensemble,0.2,0.795875,65.84111555480673
72,72.0,4,Beijing_air,RidgeCV,Ensemble,0.25,0.754875,30.937360680310178
73,73.0,4,Beijing_air,RandomForestRegressor,Ensemble,0.25,0.75775,49.21011835229653
74,74.0,4,Beijing_air,Sequential,Ensemble,0.25,0.748375,54.668293162997706
75,75.0,5,Beijing_air,RidgeCV,Ensemble,0.05,0.94975,79.6820163034367
76,76.0,5,Beijing_air,RandomForestRegressor,Ensemble,0.05,0.9495,97.69528050639772
77,77.0,5,Beijing_air,Sequential,Ensemble,0.05,0.943375,119.58530322982179
78,78.0,5,Beijing_air,RidgeCV,Ensemble,0.1,0.900625,56.195833359865475
79,79.0,5,Beijing_air,RandomForestRegressor,Ensemble,0.1,0.903625,68.97753385637701
80,80.0,5,Beijing_air,Sequential,Ensemble,0.1,0.895625,95.00696459812544
81,81.0,5,Beijing_air,RidgeCV,Ensemble,0.15000000000000002,0.853125,44.481901511219775
82,82.0,5,Beijing_air,RandomForestRegressor,Ensemble,0.15000000000000002,0.852625,57.35784582191472
83,83.0,5,Beijing_air,Sequential,Ensemble,0.15000000000000002,0.847625,79.55622649768341
84,84.0,5,Beijing_air,RidgeCV,Ensemble,0.2,0.803125,36.85955161241272
85,85.0,5,Beijing_air,RandomForestRegressor,Ensemble,0.2,0.80475,51.238888012954035
86,86.0,5,Beijing_air,Sequential,Ensemble,0.2,0.794125,62.98207591095288
87,87.0,5,Beijing_air,RidgeCV,Ensemble,0.25,0.754375,31.227352910062407
88,88.0,5,Beijing_air,RandomForestRegressor,Ensemble,0.25,0.755625,46.55221640813485
89,89.0,5,Beijing_air,Sequential,Ensemble,0.25,0.745875,58.27986061944086
90,90.0,6,Beijing_air,RidgeCV,Ensemble,0.05,0.95025,79.91861853974308
91,91.0,6,Beijing_air,RandomForestRegressor,Ensemble,0.05,0.950625,102.08436798642704
92,92.0,6,Beijing_air,Sequential,Ensemble,0.05,0.9435,119.63827304986928
93,93.0,6,Beijing_air,RidgeCV,Ensemble,0.1,0.901375,56.62116527429709
94,94.0,6,Beijing_air,RandomForestRegressor,Ensemble,0.1,0.901375,73.72371559756121
95,95.0,6,Beijing_air,Sequential,Ensemble,0.1,0.895,95.72209516049016
96,96.0,6,Beijing_air,RidgeCV,Ensemble,0.15000000000000002,0.853125,44.74589285902229
97,97.0,6,Beijing_air,RandomForestRegressor,Ensemble,0.15000000000000002,0.853625,61.01297709758908
98,98.0,6,Beijing_air,Sequential,Ensemble,0.15000000000000002,0.85825,232.710259981377
99,99.0,6,Beijing_air,RidgeCV,Ensemble,0.2,0.80325,37.04568695011008
100,100.0,6,Beijing_air,RandomForestRegressor,Ensemble,0.2,0.80575,55.02370625448534
101,101.0,6,Beijing_air,Sequential,Ensemble,0.2,0.795875,68.33262849268361
102,102.0,6,Beijing_air,RidgeCV,Ensemble,0.25,0.754,31.32875369440196
103,103.0,6,Beijing_air,RandomForestRegressor,Ensemble,0.25,0.75675,50.139895011670646
104,104.0,6,Beijing_air,Sequential,Ensemble,0.25,0.7485,57.41347130076385
105,105.0,7,Beijing_air,RidgeCV,Ensemble,0.05,0.9505,79.83915915956983
106,106.0,7,Beijing_air,RandomForestRegressor,Ensemble,0.05,0.94875,103.0412651384408
